block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.2,348.16,100.0
37,348.15,348.17,348.15,11679.73
38,348.15,348.17,348.15,37959.14
39,348.16,348.29,348.16,2982.088
40,348.16,348.29,348.16,58.0
41,348.16,348.27,348.16,6.0
42,348.18,348.38,348.19,6.0
1,348.16,348.32,348.17,17.0
43,348.17,348.28,348.17,7.0
4,348.17,348.35,348.17,34.0
17,348.15,348.21,348.15,800.9999
2,348.15,348.2,348.15,5.0
44,348.17,348.25,348.17,7.0
5,348.18,348.37,348.19,800.9999
6,348.15,348.21,348.15,14071970.0
7,348.18,348.37,348.19,1602.0
18,348.17,348.28,348.17,15833360.0
19,348.16,348.3,348.17,1602.0
20,348.16,348.3,348.17,6.0
21,348.19,348.37,348.19,15.0
22,348.18,348.37,348.19,1602.0
23,,,0.0,720001.0
24,348.16,348.26,348.16,11088010000.0
25,348.16,348.23,348.16,1440002.0
26,348.16,348.28,348.16,1602.0
27,348.18,348.37,348.19,0.0
28,348.18,348.37,348.19,1602.0
3,348.15,348.18,348.15,68.0
30,348.15,348.2,348.15,9936008000.0
45,348.18,348.38,348.19,17.0
8,348.16,348.31,348.16,24.0
29,348.15,348.17,348.15,6240005.0
32,348.18,348.32,348.18,1602.0
33,348.16,348.27,348.16,24.0
34,348.16,348.26,348.17,60.0
35,348.19,348.37,348.19,0.0
31,,,0.0,1920002.0
47,348.16,348.24,348.16,5.0
46,348.15,348.19,348.15,1.0
9,348.18,348.37,348.19,1651.5
10,348.15,348.22,348.15,19773960.0
11,348.18,348.37,348.19,2202.0
36,348.15,348.2,348.15,13139.7
12,348.16,348.31,348.16,30.0
13,348.18,348.37,348.19,901.0001
14,348.15,348.21,348.15,18079920.0
15,348.18,348.37,348.19,1802.0
16,348.15,348.17,348.15,24.0
