block_id,L2_right,L2,FPReg_1,FPAdd_1,Dcache,FPReg_3,LdStQ,FPMul_0,Bpred_0,FPQ,IntReg_1,ITB_0,FPAdd_0,FPReg_2,FPMul_1,FPMap_0,IntMap,Bpred_1,IntReg_0,IntExec,Bpred_2,DTB_0,DTB_2,IntQ,FPMap_1,Icache,L2_left,FPReg_0,DTB_1,ITB_1
0,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
22,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
3,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
2,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
1,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
4,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
5,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
8,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
6,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
10,350.150,350.130,350.160,350.160,350.160,350.160,350.160,350.160,350.140,350.160,350.180,350.160,350.160,350.160,350.160,350.140,350.170,350.140,350.180,350.160,350.140,350.150,350.160,350.170,350.140,350.140,350.150,350.160,350.160,350.160
13,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
9,350.150,350.130,350.160,350.160,350.160,350.160,350.160,350.160,350.140,350.160,350.180,350.160,350.160,350.160,350.160,350.140,350.170,350.140,350.180,350.160,350.140,350.150,350.160,350.170,350.140,350.140,350.150,350.160,350.160,350.160
11,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
12,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
7,329.540,329.510,329.550,329.550,329.550,329.550,329.570,329.550,329.530,329.550,329.570,329.550,329.550,329.550,329.550,329.520,329.560,329.530,329.570,329.550,329.530,329.550,329.550,329.560,329.530,329.530,329.540,329.550,329.550,329.550
15,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
14,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
16,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
17,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
18,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
19,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
20,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
21,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150,350.150
