frequency,voltage,block_id
3.0,0.65,0
3.0,0.65,37
3.0,0.65,38
3.0,0.65,39
3.0,0.65,40
3.0,0.65,41
3.0,0.65,42
3.0,0.65,1
3.0,0.65,43
3.0,0.65,4
3.0,0.65,17
3.0,0.65,2
3.0,0.65,44
3.0,0.65,5
3.0,0.65,6
3.1,0.65,7
3.0,0.65,18
3.0,0.65,19
3.0,0.65,20
3.0,0.65,21
3.0,0.65,22
3.0,0.65,23
4.1000000000000005,0.9,24
3.0,0.65,25
3.1,0.65,26
4.1000000000000005,0.9,27
4.1000000000000005,0.9,28
3.0,0.65,3
3.0,0.65,30
3.0,0.65,45
3.1,0.65,8
4.1000000000000005,0.9,29
3.0,0.65,32
3.0,0.65,33
3.0,0.65,34
3.0,0.65,35
3.0,0.65,31
3.0,0.65,47
3.0,0.65,46
3.1,0.65,9
3.1,0.65,10
3.1,0.65,11
3.0,0.65,36
3.1,0.65,12
3.1,0.65,13
3.1,0.65,14
3.1,0.65,15
3.1,0.65,16
