block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,77.0
22,348.16,348.16,348.16,2120755.0
23,348.16,348.16,348.16,12948050000.0
24,348.16,348.18,348.16,748501.7
25,348.16,348.18,348.16,5602536000.0
26,348.16,348.17,348.16,3243507.0
27,348.16,348.19,348.16,2004.0
1,348.17,348.18,348.17,1501.5
2,350.35,350.73,350.37,8241734.0
3,350.37,350.74,350.39,2002.0
28,348.17,348.19,348.17,42.0
4,350.38,350.75,350.4,7.0
29,348.18,348.21,348.18,60.0
5,350.4,350.76,350.42,12.0
8,350.4,350.75,350.42,97.0
30,348.2,348.25,348.2,0.0
6,350.41,350.77,350.43,5.0
9,,,0.0,6513.0
10,,,0.0,10728520.0
11,,,0.0,0.0
12,,,0.0,14691060000.0
13,,,0.0,1497003.0
32,348.21,348.26,348.21,11679.73
31,348.21,348.26,348.21,13139.7
7,350.42,350.77,350.44,63.0
15,350.42,350.77,350.44,5738513.0
14,,,0.0,13072550000.0
16,,,0.0,6474041000.0
17,,,0.0,2245505.0
18,,,0.0,3757.5
19,,,0.0,9231521.0
20,,,0.0,0.0
21,,,0.0,14566560000.0
