block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,71.0
22,348.16,348.16,348.16,288.0043
23,348.16,348.16,348.16,176.0026
24,348.16,348.18,348.16,672.0099
25,348.16,348.18,348.16,46.0
26,348.16,348.17,348.16,6.0
27,348.16,348.19,348.16,6.0
1,348.17,348.18,348.17,12.0
2,350.35,350.73,350.37,5.0
3,350.37,350.74,350.39,63.0
28,348.17,348.19,348.17,7.0
4,350.38,350.75,350.4,36.0
29,348.18,348.21,348.18,7.0
5,350.4,350.76,350.42,16800.0
8,350.4,350.75,350.42,58771320.0
30,348.2,348.25,348.2,17.0
6,350.41,350.77,350.43,36.0
9,,,0.0,3802.0
10,,,0.0,6.0
11,,,0.0,44.0
12,,,0.0,950.5
13,,,0.0,43850360.0
32,348.21,348.26,348.21,5.0
31,348.21,348.26,348.21,1.0
7,350.42,350.77,350.44,2851.5
15,350.42,350.77,350.44,0.0
14,,,0.0,1901.0
16,,,0.0,430.6953
17,,,0.0,6601.519
18,,,0.0,22237690.0
19,,,0.0,3802.0
20,,,0.0,36.0
21,,,0.0,51.0
