block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
19,350.17,350.26,350.17,30,1e-08,1,0.7,3.0
5,350.18,350.35,350.2,17,5.666666666666667e-09,1,0.7,3.0
10,350.18,350.35,350.2,5,1.6666666666666667e-09,1,0.7,3.0
15,350.18,350.35,350.2,30,1e-08,1,0.7,3.0
18,350.18,350.35,350.2,12792773,0.004264257666666667,400,0.7,3.0
4,350.2,350.42,350.22,10,3.3333333333333334e-09,1,0.7,3.0
9,350.2,350.42,350.23,20,6.666666666666667e-09,1,0.7,3.0
14,352.05,354.62,352.45,18082623,0.006027541,450,0.7,3.0
17,347.84,351.39,348.33,30,1e-08,1,0.7,3.0
0,350.2,350.42,350.22,83,2.7666666666666666e-08,1,0.7,3.0
3,350.21,350.48,350.24,60,2e-08,1,0.7,3.0
8,350.22,350.48,350.26,2,6.666666666666666e-10,1,0.7,3.0
13,352.05,354.62,352.46,24,8e-09,1,0.65,3.0
16,347.84,351.4,348.33,15059543,0.005019847666666666,500,0.7,3.0
2,350.48,351.27,350.59,65761,2.1920333333333334e-05,497,0.7,3.0
6,350.22,350.48,350.25,21,7e-09,1,0.7,3.0
7,350.24,350.53,350.27,13,4.333333333333333e-09,1,0.7,3.0
12,351.96,354.55,352.37,21762123,0.007254041,600,0.65,3.0
1,350.49,351.29,350.6,58,1.9333333333333334e-08,1,0.7,3.0
11,351.96,354.55,352.37,6,2e-09,1,0.65,3.0
