block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
47,0.65,3.0366143,0.65
48,0.65,3.0366143,0.65
49,0.65,3.0366935999999995,0.65
50,0.65,3.0366935999999995,0.65
51,0.65,3.0366143,0.65
52,0.65,3.0366935999999995,0.65
1,0.65,3.0367729,0.65
53,0.65,3.0367729,0.65
4,0.65,3.0367729,0.65
21,0.65,3.0366935999999995,0.65
2,0.65,3.0369315,0.65
54,0.65,3.0368522,0.65
5,0.65,3.0369315,0.65
6,0.65,3.051839899999999,0.65
7,0.65,3.0519191999999995,0.65
22,0.65,3.0368522,0.65
23,0.65,3.0378831,0.65
24,0.8,3.6834896,0.8
25,0.8,3.6866568000000006,0.8
26,0.8,3.686913600000001,0.8
3,0.65,3.037010799999999,0.65
40,0.65,3.037010799999999,0.65
55,0.65,3.0370901000000003,0.65
8,0.65,3.0519191999999995,0.65
57,0.65,3.0371694,0.65
56,0.65,3.0371694,0.65
9,0.65,3.0519985,0.65
10,0.65,3.0675413,0.65
11,0.65,3.0675413,0.65
32,0.65,3.0366935999999995,0.65
12,0.65,3.0675413,0.65
13,0.65,3.0675413,0.65
14,0.65,3.0830047999999994,0.65
15,0.65,3.0830047999999994,0.65
16,0.65,3.0830047999999994,0.65
17,0.65,3.0830047999999994,0.65
18,0.65,3.0978338999999995,0.65
19,0.65,3.0978338999999995,0.65
20,0.65,3.0978338999999995,0.65
