block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.16,350.15,100,3.3333333333333334e-08,1,0.65,3.0
47,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
48,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
49,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
50,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
51,350.15,350.16,350.15,17,5.666666666666667e-09,1,0.65,3.0
52,350.15,350.17,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.16,350.18,350.16,17,5.666666666666667e-09,1,0.65,3.0
53,350.16,350.18,350.16,5,1.6666666666666667e-09,1,0.65,3.0
4,350.16,350.18,350.16,30,1e-08,1,0.65,3.0
21,350.16,350.17,350.16,30,1e-08,1,0.65,3.0
2,350.17,350.2,350.17,10,3.3333333333333334e-09,1,0.65,3.0
54,350.17,350.19,350.17,20,6.666666666666667e-09,1,0.65,3.0
5,350.17,350.2,350.17,801,2.67e-07,400,0.65,3.0
6,351.69,352.08,351.72,12790400,0.004263466666666667,199850,0.65,3.0
7,351.7,352.09,351.73,1602,5.167741935483871e-07,400,0.65,3.1
22,350.17,350.19,350.17,1602,5.34e-07,400,0.65,3.0
23,350.22,350.32,350.22,720001,0.00024000033333333333,360001,0.65,3.0
24,342.75,342.81,342.76,8280010000,2.760003333333333,180000000,0.65,3.0
25,342.91,343.09,342.91,1440000,0.0003891891891891892,360001,0.8,3.7
26,342.93,343.13,342.93,1602,4.3297297297297296e-07,400,0.8,3.7
3,350.18,350.21,350.18,83,2.7666666666666666e-08,1,0.65,3.0
40,350.18,350.21,350.18,60,2e-08,1,0.65,3.0
55,350.18,350.22,350.18,2,6.666666666666666e-10,1,0.65,3.0
8,351.71,352.09,351.74,30,9.677419354838709e-09,1,0.65,3.1
27,,,0.0,0,0.0,1,0.8,3.7
41,,,0.0,0,0.0,497,0.65,3.0
42,,,0.0,13140,,1460,0.9,
43,,,0.0,11680,,730,0.9,
44,,,0.0,37959,,1460,0.9,
45,,,0.0,2982,,497,0.9,
57,350.19,350.23,350.19,21,7e-09,1,0.65,3.0
56,350.19,350.23,350.19,13,4.333333333333333e-09,1,0.65,3.0
9,351.72,352.1,351.75,1001,3.229032258064516e-07,500,0.65,3.1
10,353.23,354.03,353.28,15056500,0.004856935483870967,224724,0.65,3.1
11,353.25,354.03,353.29,2002,6.458064516129032e-07,500,0.65,3.1
32,350.15,350.17,350.15,1802,6.006666666666666e-07,450,0.65,3.0
28,,,0.0,1802,,450,0.9,
29,,,0.0,990001,,495001,0.9,
30,,,0.0,13662000000,,297000000,0.9,
31,,,0.0,1980000,,495001,0.9,
46,,,0.0,58,,1,0.9,
12,353.26,354.03,353.3,30,9.677419354838709e-09,1,0.65,3.1
33,,,0.0,0,0.0,1,0.65,3.0
13,353.27,354.03,353.32,901,2.906451612903226e-07,450,0.65,3.1
14,354.75,355.97,354.81,18079900,0.005832225806451613,269849,0.65,3.1
15,354.77,355.97,354.82,1802,5.812903225806452e-07,450,0.65,3.1
34,,,0.0,1602,,400,0.9,
35,,,0.0,880001,,440000,0.9,
36,,,0.0,9108010000,,198000000,0.9,
37,,,0.0,1760000,,440000,0.9,
38,,,0.0,1602,,400,0.9,
16,354.78,355.97,354.84,24,7.741935483870967e-09,1,0.65,3.1
39,,,0.0,36,,1,0.9,
17,354.8,355.97,354.85,1201,3.874193548387097e-07,600,0.65,3.1
18,356.18,357.85,356.24,21758500,0.007252833333333333,329675,0.6,3.0
19,356.2,357.85,356.26,2402,8.006666666666667e-07,600,0.6,3.0
20,356.22,357.85,356.27,6,2e-09,1,0.6,3.0
