block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,100.0,3.3333333333333334e-08,1,0.65,3.0366143
47,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
48,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
49,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
50,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
51,350.15,350.16,350.15,17.0,5.666666666666667e-09,1,0.65,3.0366143
52,350.15,350.17,350.15,1.0,3.3333333333333327e-10,1,0.65,3.0366935999999995
1,350.16,350.18,350.16,17.0,5.666666666666667e-09,1,0.65,3.0367729
53,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1,0.65,3.0367729
4,350.16,350.18,350.16,30.0,1e-08,1,0.65,3.0367729
21,350.16,350.17,350.16,30.0,1e-08,1,0.65,3.0366935999999995
2,350.17,350.2,350.17,10.0,3.333333333333333e-09,1,0.65,3.0369314999999997
54,350.17,350.19,350.17,20.0,6.666666666666667e-09,1,0.65,3.0368522000000002
5,350.17,350.2,350.17,800.9999,2.669999666666667e-07,400,0.65,3.0369314999999997
6,351.69,352.08,351.72,12790370.0,0.0042634566666666,199850,0.65,3.051839899999999
7,351.7,352.09,351.73,1602.0,5.34e-07,400,0.65,3.0519191999999995
22,350.17,350.19,350.17,1602.0,5.34e-07,400,0.65,3.0368522000000002
23,350.22,350.32,350.22,720001.0,0.0002400003333333,360001,0.65,3.0378831
24,342.75,342.81,342.76,8280012000.0,2.760004,180000000,0.8,3.6834895999999997
25,342.96,343.18,342.96,1440002.0,0.0004800006666666,360001,0.8,3.6866568000000006
26,342.98,343.21,342.97,1602.0,5.34e-07,400,0.8,3.6869136000000005
3,350.18,350.21,350.18,83.0,2.7666666666666663e-08,1,0.65,3.037010799999999
40,350.18,350.21,350.18,60.0,2e-08,1,0.65,3.037010799999999
55,350.18,350.22,350.18,2.0,6.666666666666665e-10,1,0.65,3.0370901000000003
8,351.71,352.09,351.74,30.0,1e-08,1,0.65,3.0519191999999995
57,350.19,350.23,350.19,21.0,7e-09,1,0.65,3.0371694
56,350.19,350.23,350.19,13.0,4.333333333333333e-09,1,0.65,3.0371694
9,351.72,352.1,351.75,1001.0,3.336666666666667e-07,500,0.65,3.0519985
10,353.25,354.06,353.3,15056540.0,0.0050188466666666,224724,0.65,3.0675413000000002
11,353.26,354.06,353.31,2002.0,6.673333333333334e-07,500,0.65,3.0675413000000002
32,350.15,350.17,350.15,1802.0,6.006666666666666e-07,450,0.65,3.0366935999999995
12,353.28,354.06,353.32,30.0,1e-08,1,0.65,3.0675413000000002
13,353.29,354.06,353.33,901.0001,3.003333666666667e-07,450,0.65,3.0675413000000002
14,354.77,356.01,354.83,18079920.0,0.00602664,269849,0.65,3.0830047999999994
15,354.79,356.01,354.85,1802.0,6.006666666666666e-07,450,0.65,3.0830047999999994
16,354.81,356.01,354.86,24.0,8e-09,1,0.65,3.0830047999999994
17,354.82,356.01,354.88,1201.0,4.003333333333334e-07,600,0.65,3.0830047999999994
18,356.21,357.88,356.27,21758520.0,0.00725284,329675,0.65,3.0978338999999995
19,356.23,357.88,356.29,2402.0,8.006666666666667e-07,600,0.65,3.0978338999999995
20,356.25,357.88,356.3,6.0,2e-09,1,0.65,3.0978338999999995
