block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
16,350.17,350.26,350.17,77,2.5666666666666668e-08,1,0.7,3.0
10,352.46,354.96,352.84,8245238,0.0027484126666666667,500,0.7,3.0
15,350.18,350.35,350.2,5,1.6666666666666667e-09,1,0.7,3.0
9,352.46,354.98,352.85,7,2.333333333333333e-09,1,0.65,3.0
14,350.2,350.42,350.23,20,6.666666666666667e-09,1,0.7,3.0
5,352.47,354.99,352.86,12,4e-09,1,0.65,3.0
8,352.47,354.99,352.86,97,3.233333333333333e-08,1,0.65,3.0
13,350.22,350.48,350.26,2,6.666666666666666e-10,1,0.7,3.0
4,352.47,355.0,352.86,5,1.6666666666666667e-09,1,0.65,3.0
7,332.65,335.12,333.0,67390363101,22.463454367,250,0.65,3.0
11,350.22,350.48,350.25,21,7e-09,1,0.7,3.0
12,350.24,350.53,350.27,13,4.333333333333333e-09,1,0.7,3.0
0,352.47,355.0,352.86,63,2.1e-08,1,0.65,3.0
3,352.47,355.01,352.87,60,2e-08,1,0.65,3.0
6,332.66,335.13,333.0,42,1.4e-08,1,0.85,3.0
2,352.62,355.44,353.04,65761,2.1920333333333334e-05,497,0.65,3.0
1,352.63,355.45,353.05,58,1.9333333333333334e-08,1,0.65,3.0
