block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.16,350.15,77,2.5666666666666668e-08,1,0.65,3.0
36,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
37,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
38,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
39,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
40,350.15,350.16,350.15,17,5.666666666666667e-09,1,0.65,3.0
41,350.15,350.17,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.16,350.19,350.16,1502,5.006666666666666e-07,500,0.65,3.0
2,351.31,351.56,351.34,8241730,0.0027472433333333335,249750,0.65,3.0
3,351.32,351.57,351.35,2002,6.673333333333334e-07,500,0.65,3.0
42,350.16,350.18,350.16,5,1.6666666666666667e-09,1,0.65,3.0
4,351.33,351.58,351.36,7,2.333333333333333e-09,1,0.65,3.0
43,350.17,350.19,350.17,20,6.666666666666667e-09,1,0.65,3.0
5,351.34,351.59,351.37,12,4e-09,1,0.65,3.0
8,351.34,351.59,351.37,97,3.233333333333333e-08,1,0.65,3.0
44,350.18,350.22,350.18,2,6.666666666666666e-10,1,0.65,3.0
6,351.35,351.6,351.38,5,1.6666666666666667e-09,1,0.65,3.0
9,351.36,351.6,351.38,6513,2.171e-06,250,0.65,3.0
10,352.68,353.26,352.73,10728500,0.0035761666666666667,249501,0.65,3.0
11,,,0.0,0,0.0,124750,0.65,3.1
12,,,0.0,14691100000,,124501000,0.9,
13,352.81,353.38,352.86,1497000,0.00048290322580645163,124750,0.65,3.1
14,340.49,340.51,340.49,13072600000,4.216967741935484,124501000,0.65,3.1
15,,,0.0,5738510,,249501,0.9,
16,,,0.0,6474040000,,124501000,0.9,
17,,,0.0,2245510,,249501,0.9,
18,,,0.0,3758,,250,0.9,
19,,,0.0,9231520,,249501,0.9,
20,,,0.0,0,,124750,0.9,
21,,,0.0,14566600000,,124501000,0.9,
22,,,0.0,2120750,,124750,0.9,
23,,,0.0,12948100000,,124501000,0.9,
24,,,0.0,748502,,249501,0.9,
25,,,0.0,5602540000,,124501000,0.9,
26,,,0.0,3243510,,249501,0.9,
27,,,0.0,2004,,250,0.9,
46,350.19,350.23,350.19,21,7e-09,1,0.65,3.0
45,350.19,350.23,350.19,13,4.333333333333333e-09,1,0.65,3.0
7,351.37,351.61,351.39,63,2.1e-08,1,0.65,3.0
29,351.37,351.61,351.39,60,2e-08,1,0.65,3.0
28,,,0.0,42,,1,0.9,
32,350.15,350.16,350.15,11680,3.893333333333333e-06,730,0.65,3.0
33,350.16,350.18,350.16,37959,1.2653e-05,1460,0.65,3.0
34,350.17,350.2,350.17,2982,9.94e-07,497,0.65,3.0
30,,,0.0,0,0.0,497,0.65,3.0
31,,,0.0,13140,,1460,0.9,
35,350.18,350.21,350.18,58,1.9333333333333334e-08,1,0.65,3.0
