block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,77.0,2.5666666666666668e-08,1,0.65,3.0366143
1,350.16,350.17,350.16,1501.5,5.005e-07,500,0.65,3.0366935999999995
28,350.16,350.17,350.16,42.0,1.4e-08,1,0.65,3.0366935999999995
4,351.89,352.58,351.92,7.0,2.333333333333333e-09,1,0.65,3.0558049
29,350.17,350.19,350.17,60.0,2e-08,1,0.65,3.0368522000000002
5,351.9,352.58,351.93,12.0,4e-09,1,0.65,3.0558049
8,351.9,352.58,351.93,97.0,3.233333333333333e-08,1,0.65,3.0558049
30,350.18,350.21,350.18,0.0,0.0,497,0.65,3.037010799999999
6,351.91,352.58,351.94,5.0,1.6666666666666667e-09,1,0.65,3.0558049
7,351.92,352.58,351.95,63.0,2.1e-08,1,0.65,3.0558049
