block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.16,350.16,350.16,71,2.3666666666666667e-08,1,0.65,3.0
26,350.16,350.16,350.16,6,2e-09,1,0.65,3.0
27,350.16,350.16,350.16,6,2e-09,1,0.65,3.0
28,350.16,350.17,350.16,7,2.333333333333333e-09,1,0.65,3.0
29,350.16,350.17,350.16,7,2.333333333333333e-09,1,0.65,3.0
30,350.16,350.17,350.16,17,5.666666666666667e-09,1,0.65,3.0
31,350.16,350.19,350.16,1,3.333333333333333e-10,1,0.65,3.0
1,350.17,350.18,350.17,12,4e-09,1,0.65,3.0
32,350.17,350.19,350.17,5,1.6666666666666667e-09,1,0.65,3.0
4,350.17,350.18,350.17,36,1.2e-08,1,0.65,3.0
11,350.17,350.18,350.17,44,1.4666666666666667e-08,1,0.65,3.0
2,350.18,350.19,350.18,5,1.6666666666666667e-09,1,0.65,3.0
33,350.18,350.21,350.18,20,6.666666666666667e-09,1,0.65,3.0
5,350.18,350.19,350.18,16800,5.6e-06,175,0.65,3.0
12,350.19,350.33,350.19,950,3.1666666666666667e-07,950,0.65,3.0
13,351.83,352.55,351.87,43850400,0.0146168,664399,0.65,3.0
14,351.85,352.56,351.88,1901,6.132258064516129e-07,950,0.65,3.1
15,,,0.0,0,0.0,7,0.65,3.1
16,,,0.0,431,,7,0.9,
17,351.87,352.56,351.9,6602,2.1296774193548387e-06,943,0.65,3.1
18,353.61,354.69,353.66,22237700,0.0071734516129032255,494171,0.65,3.1
19,,,0.0,3802,,950,0.9,
3,350.19,350.2,350.19,63,2.1e-08,1,0.65,3.0
21,350.19,350.21,350.19,51,1.7e-08,1,0.65,3.0
34,350.19,350.25,350.19,2,6.666666666666666e-10,1,0.65,3.0
6,350.19,350.22,350.19,36,1.2e-08,1,0.65,3.0
20,,,0.0,36,,1,0.9,
24,350.16,350.17,350.16,672,2.24e-07,32,0.65,3.0
22,350.2,350.23,350.2,288,9.6e-08,32,0.65,3.0
23,350.21,350.25,350.21,176,5.866666666666667e-08,16,0.65,3.0
36,350.2,350.26,350.21,21,7e-09,1,0.65,3.0
35,350.2,350.26,350.2,13,4.333333333333333e-09,1,0.65,3.0
8,350.16,350.2,350.16,58771300,0.019590433333333334,498062,0.65,3.0
9,350.17,350.23,350.18,3802,1.2673333333333333e-06,950,0.65,3.0
7,350.2,350.23,350.2,2852,9.506666666666667e-07,950,0.65,3.0
25,350.17,350.18,350.17,46,1.5333333333333335e-08,1,0.65,3.0
10,350.18,350.24,350.19,6,2e-09,1,0.65,3.0
