block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.16,350.15,71,2.3666666666666667e-08,1,0.65,3.0
26,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
27,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
28,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
29,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
30,350.15,350.16,350.15,17,5.666666666666667e-09,1,0.65,3.0
31,350.15,350.17,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.16,350.17,350.16,12,4e-09,1,0.65,3.0
32,350.16,350.18,350.16,5,1.6666666666666667e-09,1,0.65,3.0
4,350.16,350.17,350.16,36,1.2e-08,1,0.65,3.0
11,350.16,350.17,350.16,44,1.4666666666666667e-08,1,0.65,3.0
2,350.17,350.18,350.17,5,1.6666666666666667e-09,1,0.65,3.0
33,350.17,350.19,350.17,20,6.666666666666667e-09,1,0.65,3.0
5,350.17,350.18,350.17,16800,5.6e-06,175,0.65,3.0
12,350.18,350.27,350.18,950,3.1666666666666667e-07,950,0.65,3.0
13,351.81,352.54,351.84,43850400,0.0146168,664399,0.65,3.0
14,351.82,352.54,351.86,1901,6.132258064516129e-07,950,0.65,3.1
15,,,0.0,0,0.0,7,0.65,3.1
16,,,0.0,431,,7,0.9,
17,351.84,352.54,351.87,6602,2.1296774193548387e-06,943,0.65,3.1
18,353.57,354.65,353.61,22237700,0.0071734516129032255,494171,0.65,3.1
19,,,0.0,3802,,950,0.9,
3,350.18,350.19,350.18,63,2.1e-08,1,0.65,3.0
21,350.18,350.19,350.18,51,1.7e-08,1,0.65,3.0
34,350.18,350.22,350.18,2,6.666666666666666e-10,1,0.65,3.0
6,350.18,350.2,350.18,36,1.2e-08,1,0.65,3.0
20,,,0.0,36,,1,0.9,
24,350.15,350.16,350.15,672,2.24e-07,32,0.65,3.0
22,350.19,350.21,350.19,288,9.6e-08,32,0.65,3.0
23,350.2,350.22,350.2,176,5.866666666666667e-08,16,0.65,3.0
36,350.19,350.23,350.19,21,7e-09,1,0.65,3.0
35,350.19,350.23,350.19,13,4.333333333333333e-09,1,0.65,3.0
8,350.14,350.17,350.15,58771300,0.019590433333333334,498062,0.65,3.0
9,350.16,350.2,350.16,3802,1.2673333333333333e-06,950,0.65,3.0
7,350.19,350.22,350.19,2852,9.506666666666667e-07,950,0.65,3.0
25,350.16,350.17,350.16,46,1.5333333333333335e-08,1,0.65,3.0
10,350.16,350.21,350.17,6,2e-09,1,0.65,3.0
