block_id,temp_max_etc,temp_max_baseline,temp_diff
19,77.0,77.0,0.0
5,77.0,77.0,0.0
10,77.0,77.0,0.0
15,77.0,77.0,0.0
18,77.0,77.0,0.0
4,77.0,77.0,0.0
9,77.0,77.0,0.0
14,77.0,77.0,0.0
17,79.13,79.14000000000004,-0.010000000000047748
0,77.0,77.0,0.0
3,77.0,77.0,0.0
8,77.0,77.0,0.0
13,77.0,77.0,0.0
16,79.13,79.14000000000004,-0.010000000000047748
2,77.0,77.0,0.0
6,77.0,77.0,0.0
7,77.0,77.0,0.0
12,79.21000000000004,79.22000000000003,-0.009999999999990905
1,77.0,77.0,0.0
11,79.21000000000004,79.22000000000003,-0.009999999999990905
