block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
22,350.17,350.26,350.17,77,2.5666666666666668e-08,1,0.7,3.0
16,351.94,354.28,352.3,16791686,0.005597228666666666,700,0.7,3.0
21,350.18,350.35,350.2,5,1.6666666666666667e-09,1,0.7,3.0
15,351.95,354.29,352.31,13,4.333333333333333e-09,1,0.65,3.0
20,350.2,350.42,350.23,20,6.666666666666667e-09,1,0.7,3.0
5,351.95,354.3,352.32,12,4e-09,1,0.65,3.0
14,351.95,354.3,352.32,31,1.0333333333333333e-08,1,0.65,3.0
19,350.22,350.48,350.26,2,6.666666666666666e-10,1,0.7,3.0
4,351.95,354.31,352.32,5,1.6666666666666667e-09,1,0.65,3.0
13,353.12,357.36,353.71,9028519,0.0030095063333333335,600,0.65,3.0
17,350.22,350.48,350.25,21,7e-09,1,0.7,3.0
18,350.24,350.53,350.27,13,4.333333333333333e-09,1,0.7,3.0
0,351.95,354.31,352.32,63,2.1e-08,1,0.65,3.0
3,351.96,354.32,352.33,60,2e-08,1,0.65,3.0
12,353.13,357.37,353.72,13,4.333333333333333e-09,1,0.65,3.0
2,352.11,354.79,352.51,65761,2.1920333333333334e-05,497,0.65,3.0
11,352.43,355.82,352.91,21442950,0.00714765,600,0.65,3.0
1,352.12,354.8,352.52,58,1.9333333333333334e-08,1,0.65,3.0
10,352.43,355.82,352.91,22,7.333333333333334e-09,1,0.65,3.0
9,351.46,354.34,351.86,55813732,0.018604577333333334,700,0.65,3.0
8,351.47,354.4,351.87,3,1e-09,1,0.65,3.0
7,344.35,347.77,344.82,11344346607,3.781448869,600,0.65,3.0
6,344.36,347.78,344.82,44,1.4666666666666667e-08,1,0.85,3.0
