block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
22,350.16,350.23,350.17,77,2.5666666666666668e-08,1,0.7,3.0
16,351.36,353.15,351.63,16791686,0.005597228666666666,700,0.7,3.0
21,350.17,350.3,350.19,5,1.6666666666666667e-09,1,0.7,3.0
15,351.36,353.16,351.64,13,4.333333333333333e-09,1,0.65,3.0
20,350.19,350.36,350.2,20,6.666666666666667e-09,1,0.7,3.0
5,351.36,353.16,351.64,12,4e-09,1,0.65,3.0
14,351.36,353.16,351.64,31,1.0333333333333333e-08,1,0.65,3.0
19,350.2,350.41,350.22,2,6.666666666666666e-10,1,0.7,3.0
4,351.36,353.16,351.64,5,1.6666666666666667e-09,1,0.65,3.0
13,351.98,354.78,352.36,9028519,0.0030095063333333335,600,0.65,3.0
17,350.2,350.4,350.22,21,7e-09,1,0.7,3.0
18,350.21,350.45,350.24,13,4.333333333333333e-09,1,0.7,3.0
0,351.36,353.16,351.64,63,2.1e-08,1,0.65,3.0
3,351.36,353.16,351.64,60,2e-08,1,0.65,3.0
12,351.98,354.79,352.37,13,4.333333333333333e-09,1,0.65,3.0
2,351.45,353.42,351.75,65761,2.1920333333333334e-05,497,0.65,3.0
11,351.35,353.57,351.66,21442950,0.00714765,600,0.65,3.0
1,351.45,353.42,351.75,58,1.9333333333333334e-08,1,0.65,3.0
10,351.35,353.57,351.66,22,7.333333333333334e-09,1,0.65,3.0
9,350.56,352.43,350.81,55813732,0.018604577333333334,700,0.65,3.0
8,350.56,352.47,350.82,3,1e-09,1,0.65,3.0
7,343.36,345.58,343.65,11344346607,3.781448869,600,0.65,3.0
6,343.37,345.61,343.67,44,1.4666666666666667e-08,1,0.85,3.0
