block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
22,350.16,350.23,350.17,6,2e-09,1,0.7,3.0
16,351.36,353.15,351.63,13,4.333333333333333e-09,1,0.7,3.0
21,350.17,350.3,350.19,6,2e-09,1,0.7,3.0
15,351.36,353.16,351.64,21,7e-09,1,0.65,3.0
20,350.19,350.36,350.2,61,2.0333333333333333e-08,1,0.7,3.0
5,351.36,353.16,351.64,12,4e-09,1,0.65,3.0
14,351.36,353.16,351.64,15529383,0.005176461,700,0.65,3.0
19,350.2,350.41,350.22,5,1.6666666666666667e-09,1,0.7,3.0
4,351.36,353.16,351.64,5,1.6666666666666667e-09,1,0.65,3.0
13,351.98,354.78,352.36,13,4.333333333333333e-09,1,0.65,3.0
17,350.2,350.4,350.22,2,6.666666666666666e-10,1,0.7,3.0
18,350.21,350.45,350.24,20,6.666666666666667e-09,1,0.7,3.0
0,351.36,353.16,351.64,51,1.7e-08,1,0.65,3.0
3,351.36,353.16,351.64,60,2e-08,1,0.65,3.0
12,351.98,354.79,352.37,0,0.0,1,0.65,3.0
2,351.45,353.42,351.75,65761,2.1920333333333334e-05,497,0.65,3.0
11,351.35,353.57,351.66,9028520,0.0030095066666666666,601,0.65,3.0
1,351.45,353.42,351.75,58,1.9333333333333334e-08,1,0.65,3.0
10,351.35,353.57,351.66,7,2.333333333333333e-09,1,0.65,3.0
9,350.56,352.43,350.81,7046499,0.002348833,700,0.65,3.0
8,350.56,352.47,350.82,9,3e-09,1,0.65,3.0
7,343.36,345.58,343.65,11361725025,3.787241675,601,0.65,3.0
6,343.37,345.61,343.67,6,2e-09,1,0.85,3.0
