block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.16,350.15,73,2.4333333333333333e-08,1,0.65,3.0
28,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
29,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
30,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
31,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
32,350.15,350.16,350.15,17,5.666666666666667e-09,1,0.65,3.0
33,350.15,350.17,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.16,350.18,350.16,3500,1.1666666666666666e-06,125,0.65,3.0
34,350.16,350.17,350.16,23,7.666666666666667e-09,1,0.65,3.0
2,350.17,350.19,350.17,7,2.333333333333333e-09,1,0.65,3.0
35,350.17,350.2,350.17,2,6.666666666666666e-10,1,0.65,3.0
3,350.18,350.2,350.18,12,4e-09,1,0.65,3.0
6,350.18,350.2,350.18,63,2.1e-08,1,0.65,3.0
37,350.18,350.21,350.18,21,7e-09,1,0.65,3.0
36,350.18,350.21,350.18,12,4e-09,1,0.65,3.0
4,350.19,350.21,350.19,5,1.6666666666666667e-09,1,0.65,3.0
7,350.19,350.23,350.19,3000,1e-06,1000,0.65,3.0
8,350.2,350.26,350.21,8,2.6666666666666666e-09,8,0.65,3.0
9,350.2,350.24,350.2,5953,1.984333333333333e-06,992,0.65,3.0
10,351.97,352.55,352.01,21580100,0.007193366666666667,248047,0.65,3.0
11,350.22,350.29,350.22,4000,1.3333333333333334e-06,1000,0.65,3.0
12,350.23,350.31,350.23,1000,3.3333333333333335e-07,250,0.65,3.0
13,350.24,350.32,350.24,12000,4e-06,500,0.65,3.0
14,350.23,350.3,350.23,67000,2.2333333333333332e-05,1000,0.65,3.0
15,350.24,350.32,350.24,8,2.6666666666666666e-09,8,0.65,3.0
16,350.24,350.32,350.24,2977,9.923333333333334e-07,992,0.65,3.0
17,351.7,352.08,351.73,11906200,0.0039687333333333335,248047,0.65,3.0
18,351.71,352.09,351.75,1984,6.4e-07,992,0.65,3.1
19,350.25,350.34,350.25,1504,5.013333333333334e-07,752,0.65,3.0
20,350.26,350.35,350.26,37598,1.2532666666666666e-05,1504,0.65,3.0
21,350.27,350.36,350.27,42000,1.4e-05,1000,0.65,3.0
5,350.2,350.22,350.2,41,1.3666666666666667e-08,1,0.65,3.0
23,350.2,350.22,350.2,51,1.7e-08,1,0.65,3.0
22,350.28,350.36,350.28,43,1.4333333333333333e-08,1,0.65,3.0
24,350.21,350.24,350.21,288,9.6e-08,32,0.65,3.0
25,350.22,350.25,350.22,176,5.866666666666667e-08,16,0.65,3.0
26,350.23,350.26,350.23,672,2.24e-07,32,0.65,3.0
27,350.24,350.27,350.24,46,1.5333333333333335e-08,1,0.65,3.0
