block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
28,77.0,77.0,0.0
29,77.0,77.0,0.0
30,77.0,77.0,0.0
31,77.0,77.0,0.0
32,77.0,77.0,0.0
33,77.0,77.0,0.0
1,77.0,77.0,0.0
34,77.0,77.0,0.0
2,77.0,77.0,0.0
35,77.0,77.0,0.0
3,77.0,77.0,0.0
6,77.0,77.0,0.0
37,77.0,77.0,0.0
36,77.0,77.0,0.0
4,77.0,77.0,0.0
7,77.0,77.0,0.0
8,77.0,77.0,0.0
9,77.0,77.0,0.0
10,79.35000000000002,79.36000000000001,-0.009999999999990905
11,77.0,77.0,0.0
12,77.0,77.0,0.0
13,77.0,77.0,0.0
14,77.0,77.0,0.0
15,77.0,77.0,0.0
16,77.0,77.0,0.0
17,78.84000000000003,78.84000000000003,0.0
18,78.84000000000003,78.84000000000003,0.0
19,77.0,77.0,0.0
20,77.0,77.0,0.0
21,77.0,77.0,0.0
5,77.0,77.0,0.0
23,77.0,77.0,0.0
22,77.0,77.0,0.0
24,77.0,77.0,0.0
25,77.0,77.0,0.0
26,77.0,77.0,0.0
27,77.0,77.0,0.0
