block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
17,350.17,350.26,350.17,33,1.1e-08,1,0.7,3.0
5,350.18,350.35,350.2,12,4e-09,1,0.7,3.0
10,350.18,350.35,350.2,5,1.6666666666666667e-09,1,0.7,3.0
13,350.18,350.35,350.2,48,1.6e-08,1,0.7,3.0
16,350.18,350.35,350.2,23,7.666666666666667e-09,1,0.7,3.0
4,350.2,350.42,350.22,5,1.6666666666666667e-09,1,0.7,3.0
9,350.2,350.42,350.23,20,6.666666666666667e-09,1,0.7,3.0
12,352.02,355.48,352.55,108690010,0.03623000333333333,1400,0.7,3.0
15,334.79,339.5,335.45,53161846482,17.720615494,1400,0.7,3.0
0,350.2,350.42,350.22,29,9.666666666666667e-09,1,0.7,3.0
3,350.21,350.48,350.24,60,2e-08,1,0.7,3.0
8,350.22,350.48,350.26,2,6.666666666666666e-10,1,0.7,3.0
11,352.02,355.47,352.55,6,2e-09,1,0.65,3.0
14,334.8,339.5,335.46,30,1e-08,1,0.85,3.0
2,350.47,351.24,350.58,62841,2.0947e-05,497,0.7,3.0
6,350.22,350.48,350.25,21,7e-09,1,0.7,3.0
7,350.24,350.53,350.27,13,4.333333333333333e-09,1,0.7,3.0
1,350.48,351.27,350.59,58,1.9333333333333334e-08,1,0.7,3.0
