block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
26,0.65,3.0366143,0.65
27,0.65,3.0366143,0.65
28,0.65,3.0366935999999995,0.65
29,0.65,3.0366935999999995,0.65
30,0.65,3.0366143,0.65
31,0.65,3.0366935999999995,0.65
1,0.65,3.0366935999999995,0.65
32,0.65,3.0367729,0.65
4,0.65,3.0366935999999995,0.65
9,0.65,3.0366935999999995,0.65
2,0.65,3.0367729,0.65
33,0.65,3.0368522,0.65
5,0.65,3.0369315,0.65
6,0.65,3.0500953,0.65
7,0.65,3.0500953,0.65
10,0.65,3.0369315,0.65
11,0.65,3.0560428,0.65
14,0.65,3.073013,0.65
15,0.8,3.5795712,0.8
3,0.65,3.0368522,0.65
19,0.65,3.0368522,0.65
34,0.65,3.0370901000000003,0.65
8,0.65,3.0500953,0.65
36,0.65,3.0371694,0.65
35,0.65,3.0371694,0.65
