block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,29,9.666666666666667e-09,1,0.65,3.0
1,350.15,350.15,350.15,58,1.9333333333333334e-08,1,0.65,3.0
4,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
9,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
2,350.15,350.15,350.15,62841,2.0947e-05,497,0.65,3.0
5,350.15,350.15,350.15,12,4e-09,1,0.65,3.0
6,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
7,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
17,350.15,350.15,350.15,33,1.1e-08,1,0.65,3.0
10,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
13,350.15,350.15,350.15,48,1.6e-08,1,0.65,3.0
16,350.15,350.15,350.15,23,7.666666666666667e-09,1,0.65,3.0
12,351.12,351.84,351.14,108690010,0.03623000333333333,1400,0.65,3.0
15,330.55,330.62,330.56,53161846482,17.720615494,1400,0.65,3.0
11,351.12,351.84,351.14,6,2e-09,1,0.65,3.0
14,330.55,330.62,330.56,30,1e-08,1,0.8,3.0
3,350.15,350.15,350.15,60,2e-08,1,0.65,3.0
19,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
8,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
18,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
20,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
21,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
22,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
23,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
