block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,58,1.9333333333333334e-08,1,0.65,3.0
22,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
3,350.15,350.15,350.15,60,2e-08,1,0.65,3.0
2,350.15,350.15,350.15,65761,2.1920333333333334e-05,497,0.65,3.0
1,350.15,350.15,350.15,58,1.9333333333333334e-08,1,0.65,3.0
4,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
5,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
8,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
6,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
10,350.18,350.21,350.18,5,1.6666666666666667e-09,1,0.65,3.0
13,350.15,350.15,350.15,24,8e-09,1,0.65,3.0
9,350.18,350.21,350.18,20,6.666666666666667e-09,1,0.65,3.0
11,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
12,350.15,350.15,350.15,21762123,0.007254041,600,0.65,3.0
7,329.58,329.61,329.58,13,4.333333333333333e-09,1,0.65,3.0
15,350.15,350.15,350.15,24,8e-09,1,0.65,3.0
14,350.15,350.15,350.15,23987464,0.007995821333333333,500,0.65,3.0
16,350.15,350.15,350.15,18138113,0.006046037666666667,500,0.65,3.0
17,350.15,350.15,350.15,34,1.1333333333333334e-08,1,0.65,3.0
18,350.15,350.15,350.15,42,1.4e-08,1,0.65,3.0
19,350.15,350.15,350.15,7386108881,2.462036293666667,500,0.65,3.0
20,350.15,350.15,350.15,35,1.1666666666666667e-08,1,0.65,3.0
21,350.15,350.15,350.15,76,2.5333333333333332e-08,1,0.65,3.0
