block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,76.0,2.533333333333333e-08,1,0.65,3.0366143
37,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
38,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
39,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
40,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
41,350.15,350.16,350.15,17.0,5.666666666666667e-09,1,0.65,3.0366143
42,350.15,350.17,350.15,1.0,3.3333333333333327e-10,1,0.65,3.0366935999999995
1,350.16,350.18,350.16,17.0,5.666666666666667e-09,1,0.65,3.0367729
43,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1,0.65,3.0367729
4,350.16,350.18,350.16,34.0,1.1333333333333334e-08,1,0.65,3.0367729
17,350.16,350.17,350.16,35.0,1.1666666666666669e-08,1,0.65,3.0366935999999995
2,350.17,350.19,350.17,5.0,1.6666666666666667e-09,1,0.65,3.0368522000000002
44,350.17,350.19,350.17,20.0,6.666666666666667e-09,1,0.65,3.0368522000000002
5,350.17,350.2,350.17,1001.0,3.336666666666667e-07,500,0.65,3.0369314999999997
6,351.89,352.41,351.93,18135110.0,0.0060450366666666,274774,0.65,3.0544568000000005
7,351.9,352.41,351.94,2002.0,6.673333333333334e-07,500,0.65,3.0544568000000005
18,350.17,350.19,350.17,5005.0,1.6683333333333334e-06,500,0.65,3.0368522000000002
19,350.65,350.78,350.66,3565562.0,0.0011885206666666,137137,0.65,3.0415308999999997
20,351.12,351.33,351.14,3552549.0,0.001184183,136636,0.65,3.0458923999999996
21,350.66,350.78,350.67,5505.5,1.8351666666666664e-06,500,0.65,3.0415308999999997
22,350.84,350.95,350.86,1800001.0,0.0006000003333333,600000,0.65,3.0428789999999992
25,351.83,352.16,351.87,7143754.0,0.0023812513333333,595313,0.65,3.0524743
26,343.42,343.48,343.42,7366997000.0,2.4556656666666665,163711000,0.8,3.6892248000000007
3,350.18,350.2,350.18,58.0,1.933333333333333e-08,1,0.65,3.0369314999999997
30,350.18,350.2,350.18,60.0,2e-08,1,0.65,3.0369314999999997
45,350.18,350.22,350.18,2.0,6.666666666666665e-10,1,0.65,3.0370901000000003
8,351.91,352.41,351.94,24.0,8e-09,1,0.65,3.0544568000000005
32,350.15,350.17,350.15,13139.7,4.3799e-06,1460,0.65,3.0366935999999995
33,350.16,350.18,350.16,11679.73,3.8932433333333335e-06,730,0.65,3.0367729
34,350.17,350.19,350.17,37959.14,1.2653046666666666e-05,1460,0.65,3.0368522000000002
35,350.18,350.22,350.19,2982.088,9.940293333333334e-07,497,0.65,3.0370901000000003
47,350.19,350.23,350.19,21.0,7e-09,1,0.65,3.0371694
46,350.19,350.23,350.19,13.0,4.333333333333333e-09,1,0.65,3.0371694
9,351.92,352.41,351.95,1501.5,5.005e-07,500,0.65,3.0544568000000005
10,353.57,354.59,353.61,23983960.0,0.0079946533333333,299799,0.65,3.0717441999999995
11,353.58,354.59,353.63,2002.0,6.673333333333334e-07,500,0.65,3.0717441999999995
36,350.19,350.23,350.19,58.0,1.933333333333333e-08,1,0.65,3.0371694
12,353.6,354.59,353.64,24.0,8e-09,1,0.65,3.0717441999999995
13,353.61,354.59,353.65,1201.0,4.003333333333334e-07,600,0.65,3.0717441999999995
14,355.13,356.56,355.19,21758520.0,0.00725284,329675,0.65,3.0873662999999993
15,355.15,356.56,355.2,2402.0,8.006666666666667e-07,600,0.65,3.0873662999999993
16,355.17,356.56,355.22,6.0,2e-09,1,0.65,3.0873662999999993
