block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
17,350.17,350.26,350.17,49,1.6333333333333334e-08,1,0.7,3.0
5,350.18,350.35,350.2,12,4e-09,1,0.7,3.0
10,350.18,350.35,350.2,5,1.6666666666666667e-09,1,0.7,3.0
13,350.18,350.35,350.2,55,1.8333333333333332e-08,1,0.7,3.0
16,350.18,350.35,350.2,64,2.1333333333333332e-08,1,0.7,3.0
4,350.2,350.42,350.22,5,1.6666666666666667e-09,1,0.7,3.0
9,350.2,350.42,350.23,20,6.666666666666667e-09,1,0.7,3.0
12,351.45,353.61,351.78,31842776,0.010614258666666666,650,0.7,3.0
15,340.69,344.04,341.16,19508712444,6.502904148,250,0.7,3.0
0,350.2,350.42,350.22,41,1.3666666666666667e-08,1,0.7,3.0
3,350.21,350.48,350.24,60,2e-08,1,0.7,3.0
8,350.22,350.48,350.26,2,6.666666666666666e-10,1,0.7,3.0
11,351.45,353.62,351.78,6,2e-09,1,0.65,3.0
14,340.69,344.05,341.16,42,1.4e-08,1,0.85,3.0
2,350.48,351.27,350.59,65761,2.1920333333333334e-05,497,0.7,3.0
6,350.22,350.48,350.25,21,7e-09,1,0.7,3.0
7,350.24,350.53,350.27,13,4.333333333333333e-09,1,0.7,3.0
1,350.49,351.29,350.6,58,1.9333333333333334e-08,1,0.7,3.0
