block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
38,0.65,3.0366143,0.65
39,0.65,3.0366143,0.65
40,0.65,3.0366935999999995,0.65
41,0.65,3.0366935999999995,0.65
42,0.65,3.0366143,0.65
43,0.65,3.0366935999999995,0.65
1,0.65,3.0366935999999995,0.65
44,0.65,3.0367729,0.65
4,0.65,3.0366935999999995,0.65
12,0.65,3.0367729,0.65
2,0.65,3.0367729,0.65
45,0.65,3.0368522,0.65
5,0.65,3.0368522,0.65
8,0.65,3.0370901000000003,0.65
9,0.65,3.0561221,0.65
13,0.65,3.0368522,0.65
14,0.65,3.0374073,0.65
3,0.65,3.0368522,0.65
31,0.65,3.0368522,0.65
46,0.65,3.0370901000000003,0.65
48,0.65,3.0371694,0.65
47,0.65,3.0371694,0.65
