block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.16,350.15,49,1.6333333333333334e-08,1,0.65,3.0
38,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
39,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
40,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
41,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
42,350.15,350.16,350.15,17,5.666666666666667e-09,1,0.65,3.0
43,350.15,350.17,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.16,350.17,350.16,12,4e-09,1,0.65,3.0
44,350.16,350.18,350.16,5,1.6666666666666667e-09,1,0.65,3.0
4,350.16,350.17,350.16,55,1.8333333333333332e-08,1,0.65,3.0
12,350.16,350.18,350.16,64,2.1333333333333332e-08,1,0.65,3.0
2,350.17,350.18,350.17,5,1.6666666666666667e-09,1,0.65,3.0
45,350.17,350.19,350.17,20,6.666666666666667e-09,1,0.65,3.0
5,350.17,350.19,350.17,3903,1.301e-06,650,0.65,3.0
6,,,0.0,0,0.0,5,0.65,3.0
7,,,0.0,386,,5,0.9,
8,350.18,350.22,350.18,645,2.15e-07,645,0.65,3.0
9,351.94,352.62,351.97,31834600,0.010611533333333333,418876,0.65,3.0
10,,,0.0,3252,,650,0.9,
13,350.17,350.19,350.17,1252,4.173333333333333e-07,250,0.65,3.0
14,350.21,350.26,350.21,649001,0.00021633366666666667,324501,0.65,3.0
15,,,0.0,0,0.0,321965,0.65,3.0
16,,,0.0,9701460000,,104317000,0.9,
17,,,0.0,0,,321965,0.9,
18,,,0.0,33748100,,324501,0.9,
19,,,0.0,16549500,,324501,0.9,
20,,,0.0,1947000,,324501,0.9,
21,,,0.0,1252,,250,0.9,
22,,,0.0,649001,,324501,0.9,
23,,,0.0,0,,321965,0.9,
24,,,0.0,9701460000,,104317000,0.9,
25,,,0.0,0,,321965,0.9,
26,,,0.0,33748100,,324501,0.9,
27,,,0.0,16549500,,324501,0.9,
28,,,0.0,1947000,,324501,0.9,
29,,,0.0,752,,250,0.9,
3,350.18,350.19,350.18,41,1.3666666666666667e-08,1,0.65,3.0
31,350.18,350.19,350.18,60,2e-08,1,0.65,3.0
46,350.18,350.22,350.18,2,6.666666666666666e-10,1,0.65,3.0
11,,,0.0,6,,1,0.9,
30,,,0.0,42,,1,0.9,
32,,,0.0,0,0.0,497,0.65,3.0
33,,,0.0,13140,,1460,0.9,
34,,,0.0,11680,,730,0.9,
35,,,0.0,37959,,1460,0.9,
36,,,0.0,2982,,497,0.9,
48,350.19,350.23,350.19,21,7e-09,1,0.65,3.0
47,350.19,350.23,350.19,13,4.333333333333333e-09,1,0.65,3.0
37,,,0.0,58,,1,0.9,
