block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
21,350.17,350.26,350.17,33,1.1e-08,1,0.7,3.0
5,350.18,350.35,350.2,12,4e-09,1,0.7,3.0
17,350.18,350.35,350.2,48,1.6e-08,1,0.7,3.0
20,350.18,350.35,350.2,16,5.333333333333333e-09,1,0.7,3.0
4,350.2,350.42,350.22,5,1.6666666666666667e-09,1,0.7,3.0
16,351.55,353.82,351.9,34056032,0.011352010666666667,1000,0.7,3.0
19,337.55,341.01,338.02,30497291631,10.165763877,1000,0.7,3.0
0,350.2,350.42,350.22,29,9.666666666666667e-09,1,0.7,3.0
3,350.21,350.48,350.24,60,2e-08,1,0.7,3.0
15,351.56,353.84,351.9,13,4.333333333333333e-09,1,0.65,3.0
18,337.55,341.02,338.02,24,8e-09,1,0.85,3.0
2,350.48,351.27,350.59,65761,2.1920333333333334e-05,497,0.7,3.0
14,333.53,337.09,334.02,59568211664,19.856070554666665,1000,0.65,3.0
10,350.18,350.35,350.2,5,1.6666666666666667e-09,1,0.7,3.0
1,350.49,351.29,350.6,58,1.9333333333333334e-08,1,0.7,3.0
13,333.54,337.15,334.03,1,3.333333333333333e-10,1,0.85,3.0
9,350.2,350.42,350.23,20,6.666666666666667e-09,1,0.7,3.0
12,342.65,347.23,343.17,8923525,0.0029745083333333334,1000,0.85,3.0
8,350.22,350.48,350.26,2,6.666666666666666e-10,1,0.7,3.0
11,342.66,347.23,343.17,38,1.2666666666666666e-08,1,0.7,3.0
6,350.22,350.48,350.25,21,7e-09,1,0.7,3.0
7,350.24,350.53,350.27,13,4.333333333333333e-09,1,0.7,3.0
