block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,29,9.666666666666667e-09,1,0.65,3.0
1,350.15,350.15,350.15,58,1.9333333333333334e-08,1,0.65,3.0
4,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
27,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
2,350.15,350.15,350.15,65761,2.1920333333333334e-05,497,0.65,3.0
5,350.15,350.15,350.15,12,4e-09,1,0.65,3.0
9,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
8,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
6,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
7,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
3,350.15,350.15,350.15,60,2e-08,1,0.65,3.0
10,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
17,350.15,350.15,350.15,48,1.6e-08,1,0.65,3.0
18,350.15,350.15,350.15,24,8e-09,1,0.65,3.0
16,351.89,352.59,351.92,34056032,0.011352010666666667,1000,0.65,3.0
15,351.89,352.59,351.92,13,4.193548387096774e-09,1,0.65,3.1
14,330.17,330.23,330.18,59568211664,19.215552149677418,1000,0.65,3.1
13,330.17,330.23,330.18,1,2.7777777777777777e-10,1,0.8,3.6
12,332.86,335.76,332.74,8923525,0.0024787569444444445,1000,0.8,3.6
11,332.86,335.76,332.74,38,1.0555555555555555e-08,1,0.8,3.6
19,334.53,334.58,334.53,30497291631,10.165763877,1000,0.65,3.0
21,350.15,350.15,350.15,33,1.1e-08,1,0.65,3.0
22,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
23,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
24,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
25,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
20,350.15,350.15,350.15,16,5.333333333333333e-09,1,0.65,3.0
26,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
