block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,required_voltage,required_voltage_value
0,350.16,350.16,350.16,33.0,1.1e-08,3,0.645
57,350.16,350.16,350.16,6.0,2e-09,3,0.645
58,350.16,350.16,350.16,6.0,2e-09,3,0.645
59,350.16,350.17,350.16,7.0,2.333333333333333e-09,3,0.645
60,350.16,350.17,350.16,7.0,2.333333333333333e-09,3,0.645
61,350.16,350.17,350.16,17.0,5.666666666666667e-09,3,0.645
62,350.16,350.19,350.16,1.0,3.3333333333333327e-10,3,0.645
1,350.17,350.18,350.17,12.0,4e-09,3,0.645
4,350.17,350.17,350.17,48.0,1.6e-08,3,0.645
27,350.17,350.17,350.17,16.0,5.333333333333333e-09,3,0.645
2,350.18,350.19,350.18,5.0,1.6666666666666667e-09,3,0.645
5,350.18,350.2,350.18,9004.502,3.0015006666666667e-06,3,0.645
6,351.93,352.62,351.96,34017020.0,0.0113390066666666,2,0.64
7,351.95,352.62,351.98,2001.0,6.67e-07,2,0.64
8,351.96,352.62,352.0,17000.0,5.666666666666667e-06,2,0.64
9,351.98,352.62,352.01,11005.5,3.6685e-06,2,0.64
28,350.18,350.21,350.18,2001.0,6.67e-07,3,0.645
29,350.19,350.23,350.19,4000.001,1.3333336666666668e-06,3,0.645
30,350.42,350.54,350.43,1999001.0,0.0006663336666666,3,0.645
31,350.43,350.55,350.44,7.0,2.333333333333333e-09,3,0.645
32,351.65,351.96,351.69,8995501.0,0.0029985003333333,2,0.64
33,351.66,351.97,351.7,7808.595,2.602865e-06,2,0.64
34,351.73,352.03,351.77,991691.5,0.0003305638333333,2,0.64
35,339.25,339.34,339.26,15190730000.0,5.063576666666667,4,0.65
36,351.89,352.21,351.93,1999000.0,0.0006663333333333,2,0.64
37,353.29,354.02,353.35,12493750.0,0.0041645833333333,2,0.64
38,352.11,352.86,352.15,36981520.0,0.0123271733333333,2,0.64
39,352.13,352.86,352.16,5002.501,1.6675003333333337e-06,2,0.64
40,352.36,353.07,352.4,2002002.0,0.000667334,2,0.64
41,353.56,354.46,353.62,9009006.0,0.003003002,1,0.635
42,353.58,354.47,353.64,7820.317,2.6067723333333334e-06,1,0.635
43,,,0.0,0.0,0.0,0,0.63
44,,,0.0,15213540000.0,5.07118,0,0.63
45,353.81,354.69,353.86,2002001.0,0.0006673336666666,1,0.635
46,355.13,356.37,355.2,12512510.0,0.0041708366666666,1,0.635
47,355.66,356.92,355.73,4004005.0,0.0013346683333333,1,0.635
48,355.68,356.92,355.74,5002.501,1.6675003333333337e-06,1,0.635
3,350.19,350.2,350.19,29.0,9.666666666666669e-09,3,0.645
50,350.19,350.2,350.19,60.0,2e-08,3,0.645
10,352.0,352.62,352.03,13.0,4.333333333333333e-09,2,0.64
49,355.69,356.92,355.75,24.0,8e-09,1,0.635
51,,,0.0,0.0,0.0,0,0.63
52,,,0.0,13139.7,4.3799e-06,0,0.63
53,,,0.0,11679.73,3.8932433333333335e-06,0,0.63
54,,,0.0,37959.14,1.2653046666666666e-05,0,0.63
55,,,0.0,2982.088,9.940293333333334e-07,0,0.63
11,352.01,352.63,352.04,7003.502,2.334500666666667e-06,2,0.64
12,353.56,354.5,353.61,14000010.0,0.00466667,1,0.635
13,,,0.0,0.0,0.0,0,0.63
14,,,0.0,1000001.0,0.0003333336666666,0,0.63
15,354.99,356.25,355.05,13890640.0,0.0046302133333333,1,0.635
16,330.08,330.17,330.09,59531310000.0,19.84377,4,0.65
17,,,0.0,8000007.0,0.002666669,0,0.63
18,,,0.0,4002.001,1.3340003333333334e-06,0,0.63
63,350.17,350.19,350.17,5.0,1.6666666666666667e-09,3,0.645
56,,,0.0,58.0,1.933333333333333e-08,0,0.63
19,,,0.0,1.0,3.3333333333333327e-10,0,0.63
64,350.18,350.21,350.18,20.0,6.666666666666667e-09,3,0.645
20,,,0.0,2001.0,6.67e-07,0,0.63
21,,,0.0,0.0,0.0,0,0.63
22,,,0.0,8916287.0,0.0029720956666666,0,0.63
23,,,0.0,0.0,0.0,0,0.63
24,,,0.0,234.4922,7.816406666666666e-08,0,0.63
25,,,0.0,5002.501,1.6675003333333337e-06,0,0.63
65,350.19,350.25,350.19,2.0,6.666666666666665e-10,3,0.645
26,,,0.0,38.0,1.2666666666666666e-08,0,0.63
67,350.2,350.26,350.21,21.0,7e-09,3,0.645
66,350.2,350.26,350.2,13.0,4.333333333333333e-09,3,0.645
