block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.16,350.16,350.16,71,2.3666666666666667e-08,1,0.65,3.0
78,350.16,350.16,350.16,6,2e-09,1,0.65,3.0
79,350.16,350.16,350.16,6,2e-09,1,0.65,3.0
80,350.16,350.17,350.16,7,2.333333333333333e-09,1,0.65,3.0
81,350.16,350.17,350.16,7,2.333333333333333e-09,1,0.65,3.0
82,350.16,350.17,350.16,17,5.666666666666667e-09,1,0.65,3.0
83,350.16,350.19,350.16,1,3.333333333333333e-10,1,0.65,3.0
1,350.17,350.18,350.17,12,4e-09,1,0.65,3.0
4,350.17,350.17,350.17,53,1.7666666666666666e-08,1,0.65,3.0
34,350.17,350.17,350.17,21,7e-09,1,0.65,3.0
2,350.18,350.19,350.18,5,1.6666666666666667e-09,1,0.65,3.0
5,350.18,350.19,350.18,40020,1.334e-05,1000,0.65,3.0
35,350.18,350.21,350.18,2001,6.67e-07,1000,0.65,3.0
36,350.19,350.23,350.19,4000,1.3333333333333334e-06,1000,0.65,3.0
37,351.33,351.59,351.36,7996010,0.0026653366666666667,999501,0.65,3.0
38,351.55,351.8,351.59,1999000,0.0006663333333333333,999500,0.65,3.0
39,351.57,351.81,351.6,7809,2.5190322580645162e-06,7809,0.65,3.1
40,351.63,351.87,351.67,991692,0.0003199006451612903,991692,0.65,3.1
41,339.54,339.6,339.55,14530300000,4.687193548387096,330233000,0.65,3.1
42,351.79,352.06,351.83,1999000,0.0006448387096774194,999500,0.65,3.1
43,353.17,353.84,353.22,11994000,0.003869032258064516,499750,0.65,3.1
44,354.45,355.79,354.5,37981000,0.012251935483870968,999501,0.65,3.1
45,354.47,355.79,354.51,5002,1.6135483870967741e-06,1000,0.65,3.1
46,355.51,356.93,355.57,8008010,0.0025832290322580645,1001000,0.65,3.1
47,355.74,357.12,355.79,2002000,0.0006458064516129032,1001000,0.65,3.1
48,355.76,357.13,355.81,7820,2.5225806451612905e-06,7820,0.65,3.1
49,,,0.0,0,0.0,993180,0.65,3.1
50,,,0.0,14552100000,,330729000,0.9,
51,355.98,357.33,356.04,2002000,0.0006458064516129032,1001000,0.65,3.1
52,357.15,358.87,357.23,12012000,0.004004,500500,0.6,3.0
53,357.9,359.71,357.98,6006010,0.002002003333333333,1001000,0.6,3.0
54,357.93,359.71,358.0,5002,1.6673333333333333e-06,1000,0.6,3.0
3,350.19,350.2,350.19,63,2.1e-08,1,0.65,3.0
73,350.19,350.21,350.19,51,1.7e-08,1,0.65,3.0
6,350.19,350.22,350.19,19,6.333333333333333e-09,1,0.65,3.0
55,357.95,359.71,358.02,1,3.333333333333333e-10,1,0.6,3.0
74,350.2,350.23,350.2,288,9.6e-08,32,0.65,3.0
75,350.21,350.25,350.21,176,5.866666666666667e-08,16,0.65,3.0
76,350.22,350.27,350.22,672,2.24e-07,32,0.65,3.0
7,350.2,350.23,350.2,2001,6.67e-07,1000,0.65,3.0
8,350.21,350.27,350.21,8,2.6666666666666666e-09,8,0.65,3.0
9,350.21,350.25,350.21,8934,2.978e-06,993,0.65,3.0
10,351.92,352.42,351.96,17372000,0.005790666666666667,496342,0.65,3.0
11,351.93,352.43,351.97,1985,6.403225806451613e-07,993,0.65,3.1
12,350.22,350.31,350.23,504,1.68e-07,504,0.65,3.0
13,350.23,350.32,350.24,40333,1.3444333333333333e-05,1008,0.65,3.0
14,351.95,352.44,351.99,2001,6.45483870967742e-07,1000,0.65,3.1
15,351.97,352.44,352.0,38000,1.2258064516129032e-05,1000,0.65,3.1
16,351.98,352.45,352.02,11006,3.550322580645161e-06,1000,0.65,3.1
56,357.97,359.71,358.04,8004,2.668e-06,1000,0.6,3.0
57,357.99,359.71,358.06,2000,6.666666666666667e-07,1000,0.6,3.0
58,358.01,359.71,358.08,8,2.6666666666666666e-09,8,0.6,3.0
59,358.01,359.71,358.08,992,3.3066666666666666e-07,992,0.6,3.0
60,359.07,361.41,359.16,21332000,0.007110666666666667,496094,0.6,3.0
61,358.03,359.71,358.1,2000,6.666666666666667e-07,1000,0.6,3.0
62,358.05,359.71,358.12,12000,4e-06,500,0.6,3.0
63,358.07,359.71,358.14,5002,1.6673333333333333e-06,1000,0.6,3.0
77,350.23,350.28,350.23,46,1.5333333333333335e-08,1,0.65,3.0
17,352.0,352.46,352.03,13,4.193548387096774e-09,1,0.65,3.1
64,358.1,359.71,358.16,1,3.333333333333333e-10,1,0.6,3.0
18,352.02,352.47,352.05,7004,2.2593548387096774e-06,1000,0.65,3.1
19,353.52,354.36,353.57,14000000,0.004516129032258065,2000000,0.65,3.1
20,,,0.0,0,0.0,15625,0.65,3.1
21,,,0.0,1843750,,31250,0.9,
22,354.92,356.11,354.98,13890600,0.004480838709677419,1984380,0.65,3.1
23,330.08,330.17,330.08,59531300000,19.20364516129032,992188000,0.65,3.1
24,,,0.0,8000010,,2000000,0.9,
25,,,0.0,4002,,1000,0.9,
84,350.17,350.19,350.17,5,1.6666666666666667e-09,1,0.65,3.0
65,358.12,359.71,358.18,8004,2.668e-06,1000,0.6,3.0
66,358.14,359.71,358.2,2000,6.666666666666667e-07,1000,0.6,3.0
67,358.16,359.72,358.22,992,3.3066666666666666e-07,992,0.6,3.0
68,358.16,359.71,358.22,195,6.5e-08,8,0.6,3.0
69,358.18,359.72,358.24,2000,6.666666666666667e-07,1000,0.6,3.0
