block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.16,350.15,71,2.3666666666666667e-08,1,0.65,3.0
78,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
79,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
80,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
81,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
82,350.15,350.16,350.15,17,5.666666666666667e-09,1,0.65,3.0
83,350.15,350.17,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.16,350.17,350.16,12,4e-09,1,0.65,3.0
4,350.16,350.17,350.16,53,1.7666666666666666e-08,1,0.65,3.0
34,350.16,350.17,350.16,21,7e-09,1,0.65,3.0
2,350.17,350.18,350.17,5,1.6666666666666667e-09,1,0.65,3.0
5,350.17,350.18,350.17,40020,1.334e-05,1000,0.65,3.0
35,350.17,350.2,350.17,2001,6.67e-07,1000,0.65,3.0
36,350.18,350.21,350.18,4000,1.3333333333333334e-06,1000,0.65,3.0
37,351.3,351.55,351.33,7996010,0.0026653366666666667,999501,0.65,3.0
38,351.52,351.78,351.55,1999000,0.0006663333333333333,999500,0.65,3.0
39,351.53,351.79,351.56,7809,2.5190322580645162e-06,7809,0.65,3.1
40,351.59,351.84,351.62,991692,0.0003199006451612903,991692,0.65,3.1
41,339.74,339.78,339.74,14530300000,4.687193548387096,330233000,0.65,3.1
42,351.73,352.01,351.76,1999000,0.0006448387096774194,999500,0.65,3.1
43,353.08,353.75,353.13,11994000,0.003869032258064516,499750,0.65,3.1
44,354.39,355.72,354.44,37981000,0.012251935483870968,999501,0.65,3.1
45,354.41,355.72,354.46,5002,1.6135483870967741e-06,1000,0.65,3.1
46,355.42,356.82,355.47,8008010,0.0025832290322580645,1001000,0.65,3.1
47,355.63,357.0,355.68,2002000,0.0006458064516129032,1001000,0.65,3.1
48,355.64,357.0,355.7,7820,2.5225806451612905e-06,7820,0.65,3.1
49,,,0.0,0,0.0,993180,0.65,3.1
50,,,0.0,14552100000,,330729000,0.9,
51,355.85,357.18,355.9,2002000,0.0006458064516129032,1001000,0.65,3.1
52,357.01,358.71,357.08,12012000,0.004004,500500,0.6,3.0
53,357.74,359.54,357.82,6006010,0.002002003333333333,1001000,0.6,3.0
54,357.76,359.54,357.83,5002,1.6673333333333333e-06,1000,0.6,3.0
3,350.18,350.19,350.18,63,2.1e-08,1,0.65,3.0
73,350.18,350.19,350.18,51,1.7e-08,1,0.65,3.0
6,350.18,350.19,350.18,19,6.333333333333333e-09,1,0.65,3.0
55,357.78,359.54,357.85,1,3.333333333333333e-10,1,0.6,3.0
74,350.19,350.21,350.19,288,9.6e-08,32,0.65,3.0
