block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,required_voltage,required_voltage_value
0,350.16,350.16,350.16,71.0,2.3666666666666667e-08,1,0.65
78,350.16,350.16,350.16,6.0,2e-09,1,0.65
79,350.16,350.16,350.16,6.0,2e-09,1,0.65
80,350.16,350.17,350.16,7.0,2.333333333333333e-09,1,0.65
81,350.16,350.17,350.16,7.0,2.333333333333333e-09,1,0.65
82,350.16,350.17,350.16,17.0,5.666666666666667e-09,1,0.65
83,350.16,350.19,350.16,1.0,3.3333333333333327e-10,1,0.65
1,350.17,350.18,350.17,12.0,4e-09,1,0.65
4,350.17,350.17,350.17,53.0,1.7666666666666666e-08,1,0.65
34,350.17,350.17,350.17,21.0,7e-09,1,0.65
2,350.18,350.19,350.18,5.0,1.6666666666666667e-09,1,0.65
5,350.18,350.19,350.18,40020.01,1.3340003333333334e-05,1,0.65
35,350.18,350.21,350.18,2001.0,6.67e-07,1,0.65
36,350.19,350.23,350.19,4000.001,1.3333336666666668e-06,1,0.65
37,351.33,351.59,351.36,7996005.0,0.002665335,1,0.65
38,351.55,351.8,351.59,1999000.0,0.0006663333333333,1,0.65
39,351.57,351.81,351.6,7808.595,2.602865e-06,1,0.65
40,351.63,351.87,351.67,991691.5,0.0003305638333333,1,0.65
41,339.54,339.6,339.55,14530260000.0,4.84342,1,0.65
42,351.79,352.06,351.83,1999000.0,0.0006663333333333,1,0.65
43,353.17,353.84,353.22,11994000.0,0.003998,1,0.65
44,354.45,355.79,354.5,37981020.0,0.01266034,1,0.65
45,354.47,355.79,354.51,5002.501,1.6675003333333337e-06,1,0.65
46,355.51,356.93,355.57,8008009.0,0.0026693363333333,1,0.65
47,355.74,357.12,355.79,2002001.0,0.0006673336666666,1,0.65
48,355.76,357.13,355.81,7820.317,2.6067723333333334e-06,1,0.65
49,,,0.0,0.0,0.0,0,0.6
50,,,0.0,14552080000.0,4.850693333333333,0,0.6
51,355.98,357.33,356.04,2002001.0,0.0006673336666666,1,0.65
52,357.15,358.87,357.23,12012010.0,0.0040040033333333,1,0.65
53,357.9,359.71,357.98,6006007.0,0.0020020023333333,1,0.65
54,357.93,359.71,358.0,5002.501,1.6675003333333337e-06,1,0.65
3,350.19,350.2,350.19,63.0,2.1e-08,1,0.65
73,350.19,350.21,350.19,51.0,1.7e-08,1,0.65
6,350.19,350.22,350.19,19.0,6.333333333333333e-09,1,0.65
55,357.95,359.71,358.02,1.0,3.3333333333333327e-10,1,0.65
74,350.2,350.23,350.2,288.0043,9.600143333333335e-08,1,0.65
75,350.21,350.25,350.21,176.0026,5.866753333333333e-08,1,0.65
76,350.22,350.27,350.22,672.0099,2.240033e-07,1,0.65
7,350.2,350.23,350.2,2001.0,6.67e-07,1,0.65
8,350.21,350.27,350.21,7.816408,2.605469333333333e-09,1,0.65
9,350.21,350.25,350.21,8934.154,2.9780513333333336e-06,1,0.65
10,351.92,352.42,351.96,17371970.0,0.0057906566666666,1,0.65
11,351.93,352.43,351.97,1985.368,6.617893333333333e-07,1,0.65
12,350.22,350.31,350.23,504.1583,1.680527666666667e-07,1,0.65
13,350.23,350.32,350.24,40332.67,1.3444223333333334e-05,1,0.65
14,351.95,352.44,351.99,2001.0,6.67e-07,1,0.65
15,351.97,352.44,352.0,38000.01,1.266667e-05,1,0.65
16,351.98,352.45,352.02,11005.5,3.6685e-06,1,0.65
56,357.97,359.71,358.04,8004.002,2.668000666666667e-06,1,0.65
57,357.99,359.71,358.06,2000.0,6.666666666666667e-07,1,0.65
58,358.01,359.71,358.08,7.812502,2.6041673333333336e-09,1,0.65
59,358.01,359.71,358.08,992.1877,3.307292333333333e-07,1,0.65
60,359.07,361.41,359.16,21332040.0,0.00711068,1,0.65
61,358.03,359.71,358.1,2000.0,6.666666666666667e-07,1,0.65
62,358.05,359.71,358.12,12000.0,4e-06,1,0.65
63,358.07,359.71,358.14,5002.501,1.6675003333333337e-06,1,0.65
77,350.23,350.28,350.23,46.0,1.5333333333333335e-08,1,0.65
17,352.0,352.46,352.03,13.0,4.333333333333333e-09,1,0.65
64,358.1,359.71,358.16,1.0,3.3333333333333327e-10,1,0.65
18,352.02,352.47,352.05,7003.502,2.334500666666667e-06,1,0.65
19,353.52,354.36,353.57,14000010.0,0.00466667,1,0.65
20,,,0.0,0.0,0.0,0,0.6
21,,,0.0,1843752.0,0.000614584,0,0.6
22,354.92,356.11,354.98,13890640.0,0.0046302133333333,1,0.65
23,330.08,330.17,330.08,59531310000.0,19.84377,1,0.65
24,,,0.0,8000007.0,0.002666669,0,0.6
25,,,0.0,4002.001,1.3340003333333334e-06,0,0.6
84,350.17,350.19,350.17,5.0,1.6666666666666667e-09,1,0.65
65,358.12,359.71,358.18,8004.002,2.668000666666667e-06,1,0.65
66,358.14,359.71,358.2,2000.0,6.666666666666667e-07,1,0.65
67,358.16,359.72,358.22,992.1877,3.307292333333333e-07,1,0.65
68,358.16,359.71,358.22,195.3125,6.510416666666667e-08,1,0.65
