block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
16,350.17,350.26,350.18,51,1.7e-08,1,0.7,3.0
10,351.33,353.45,351.66,37452725,0.012484241666666666,1000,0.7,3.0
15,350.18,350.35,350.2,5,1.6666666666666667e-09,1,0.7,3.0
9,351.34,353.47,351.66,7,2.333333333333333e-09,1,0.7,3.0
14,350.2,350.42,350.23,20,6.666666666666667e-09,1,0.7,3.0
5,351.35,353.48,351.67,12,4e-09,1,0.65,3.0
8,351.34,353.48,351.67,7,2.333333333333333e-09,1,0.65,3.0
13,350.22,350.48,350.26,2,6.666666666666666e-10,1,0.7,3.0
4,351.35,353.49,351.68,5,1.6666666666666667e-09,1,0.65,3.0
7,332.77,335.26,333.13,66888038774,22.296012924666666,250,0.65,3.0
11,350.22,350.48,350.25,21,7e-09,1,0.7,3.0
12,350.24,350.53,350.27,13,4.333333333333333e-09,1,0.7,3.0
0,351.35,353.49,351.68,29,9.666666666666667e-09,1,0.65,3.0
3,351.35,353.5,351.68,60,2e-08,1,0.65,3.0
6,332.78,335.27,333.13,6,2e-09,1,0.85,3.0
2,351.51,353.99,351.87,65761,2.1920333333333334e-05,497,0.65,3.0
1,351.51,354.0,351.88,58,1.9333333333333334e-08,1,0.65,3.0
