block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
16,350.15,350.15,350.15,51,1.7e-08,1,0.7,3.0
10,351.86,352.57,351.89,37452725,0.012484241666666666,1000,0.7,3.0
15,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.7,3.0
9,351.86,352.57,351.89,7,2.333333333333333e-09,1,0.65,3.0
14,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.7,3.0
5,351.86,352.57,351.89,12,4e-09,1,0.65,3.0
8,351.86,352.57,351.89,7,2.333333333333333e-09,1,0.65,3.0
13,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.7,3.0
4,351.86,352.57,351.89,5,1.6666666666666667e-09,1,0.65,3.0
7,329.56,329.58,329.56,66888038774,22.296012924666666,250,0.65,3.0
11,350.15,350.15,350.15,21,7e-09,1,0.7,3.0
12,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.7,3.0
0,351.86,352.57,351.89,29,9.666666666666667e-09,1,0.65,3.0
3,351.86,352.57,351.89,60,2e-08,1,0.65,3.0
6,329.56,329.58,329.56,6,2e-09,1,0.85,3.0
2,351.86,352.57,351.89,65761,2.1920333333333334e-05,497,0.65,3.0
1,351.86,352.57,351.89,58,1.9333333333333334e-08,1,0.65,3.0
