block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,required_voltage,required_voltage_value
0,350.16,350.17,350.16,51.0,1.7e-08,3,0.645
22,350.16,350.16,350.16,6.0,2e-09,3,0.645
23,350.16,350.16,350.16,6.0,2e-09,3,0.645
24,350.16,350.17,350.16,7.0,2.333333333333333e-09,3,0.645
25,350.16,350.17,350.16,7.0,2.333333333333333e-09,3,0.645
26,350.16,350.17,350.16,17.0,5.666666666666667e-09,3,0.645
27,350.16,350.19,350.16,1.0,3.3333333333333327e-10,3,0.645
1,350.17,350.18,350.17,5002.501,1.6675003333333337e-06,3,0.645
2,351.88,352.59,351.92,37443720.0,0.01248124,2,0.64
3,351.9,352.59,351.93,4002.001,1.3340003333333334e-06,2,0.64
28,350.17,350.19,350.17,5.0,1.6666666666666667e-09,3,0.645
4,351.92,352.59,351.95,7.0,2.333333333333333e-09,2,0.64
29,350.18,350.21,350.18,20.0,6.666666666666667e-09,3,0.645
5,351.93,352.59,351.96,12.0,4e-09,2,0.64
8,351.93,352.59,351.96,7.0,2.333333333333333e-09,2,0.64
30,350.19,350.25,350.2,2.0,6.666666666666665e-10,3,0.645
6,351.95,352.59,351.97,5.0,1.6666666666666667e-09,2,0.64
9,,,0.0,0.0,0.0,0,0.63
10,,,0.0,19980020.0,0.0066600066666666,0,0.63
11,,,0.0,66866060000.0,22.288686666666667,0,0.63
12,,,0.0,1998002.0,0.0006660006666666,0,0.63
13,,,0.0,751.5,2.505e-07,0,0.63
32,350.2,350.26,350.21,21.0,7e-09,3,0.645
31,350.2,350.26,350.21,13.0,4.333333333333333e-09,3,0.645
7,351.96,352.59,351.99,29.0,9.666666666666669e-09,2,0.64
15,351.96,352.59,351.99,60.0,2e-08,2,0.64
14,,,0.0,6.0,2e-09,0,0.63
16,,,0.0,0.0,0.0,0,0.63
17,,,0.0,13139.7,4.3799e-06,0,0.63
18,,,0.0,11679.73,3.8932433333333335e-06,0,0.63
19,,,0.0,37959.14,1.2653046666666666e-05,0,0.63
20,,,0.0,2982.088,9.940293333333334e-07,0,0.63
21,,,0.0,58.0,1.933333333333333e-08,0,0.63
