block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
43,0.65,3.0366143,0.65
44,0.65,3.0366143,0.65
45,0.65,3.0366935999999995,0.65
46,0.65,3.0366935999999995,0.65
47,0.65,3.0366143,0.65
48,0.65,3.0366935999999995,0.65
1,0.65,3.0367729,0.65
49,0.65,3.0367729,0.65
4,0.65,3.0366935999999995,0.65
27,0.65,3.0366935999999995,0.65
2,0.65,3.0368522,0.65
50,0.65,3.0368522,0.65
5,0.65,3.0369315,0.65
8,0.65,3.0371694,0.65
9,0.65,3.0560428,0.65
32,0.8,3.6537008,0.8
33,0.8,3.698469600000001,0.8
34,0.8,3.698384000000001,0.8
28,0.65,3.0368522,0.65
29,0.65,3.0379624,0.65
30,0.65,3.0381210000000003,0.65
31,0.65,3.0383588999999995,0.65
3,0.65,3.0369315,0.65
36,0.65,3.0369315,0.65
51,0.65,3.0370901000000003,0.65
35,0.8,3.6981272,0.8
53,0.65,3.0371694,0.65
52,0.65,3.0371694,0.65
12,0.65,3.0366935999999995,0.65
26,0.65,3.0367729,0.65
