block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
19,350.16,350.23,350.17,76,2.5333333333333332e-08,1,0.7,3.0
5,350.17,350.3,350.19,17,5.666666666666667e-09,1,0.7,3.0
10,350.17,350.3,350.19,5,1.6666666666666667e-09,1,0.7,3.0
15,350.17,350.3,350.19,67,2.2333333333333335e-08,1,0.7,3.0
18,350.17,350.3,350.18,30,1e-08,1,0.7,3.0
4,350.18,350.35,350.2,5,1.6666666666666667e-09,1,0.7,3.0
9,350.19,350.36,350.2,20,6.666666666666667e-09,1,0.7,3.0
14,351.06,352.98,351.35,35106752,0.011702250666666667,500,0.7,3.0
17,341.0,343.27,341.3,16815007529,5.605002509666667,500,0.7,3.0
0,350.18,350.35,350.2,58,1.9333333333333334e-08,1,0.7,3.0
3,350.19,350.4,350.21,60,2e-08,1,0.7,3.0
8,350.2,350.41,350.22,2,6.666666666666666e-10,1,0.7,3.0
13,351.06,352.98,351.36,23,7.666666666666667e-09,1,0.65,3.0
16,341.0,343.29,341.32,42,1.4e-08,1,0.85,3.0
2,350.4,351.01,350.48,65761,2.1920333333333334e-05,497,0.7,3.0
6,350.2,350.4,350.22,21,7e-09,1,0.7,3.0
7,350.21,350.45,350.24,13,4.333333333333333e-09,1,0.7,3.0
12,351.63,353.66,351.96,7920462,0.002640154,500,0.65,3.0
1,350.41,351.03,350.49,58,1.9333333333333334e-08,1,0.7,3.0
11,351.63,353.66,351.96,36,1.2e-08,1,0.65,3.0
