block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,69,2.3e-08,1,0.65,3.0
41,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
42,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
43,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
44,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
45,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
46,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.15,350.15,350.15,12,4e-09,1,0.65,3.0
47,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
4,350.15,350.15,350.15,34,1.1333333333333334e-08,1,0.65,3.0
13,350.15,350.15,350.15,39,1.3e-08,1,0.65,3.0
2,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
48,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
5,350.15,350.15,350.15,1201,4.0033333333333336e-07,600,0.65,3.0
6,351.9,352.45,351.94,19776900,0.0065923,299650,0.65,3.0
7,351.9,352.45,351.94,2402,7.748387096774194e-07,600,0.65,3.1
14,350.15,350.15,350.15,1802,6.006666666666666e-07,600,0.65,3.0
15,,,0.0,0,0.0,5,0.65,3.0
16,,,0.0,15728,3.836097560975609e-06,1123,0.9,4.1000000000000005
17,350.15,350.15,350.15,1192,3.9733333333333334e-07,596,0.65,3.0
18,350.43,350.52,350.44,2413020,0.00080434,89371,0.65,3.0
19,,,0.0,3749,9.143902439024389e-07,1874,0.9,4.1000000000000005
20,,,0.0,25822,6.298048780487804e-06,600,0.9,4.1000000000000005
21,,,0.0,3600000,0.0008780487804878048,600001,0.9,4.1000000000000005
22,,,0.0,9338,2.2775609756097557e-06,9338,0.9,4.1000000000000005
23,,,0.0,7087950,0.0017287682926829266,590662,0.9,4.1000000000000005
24,,,0.0,5315960000,1.2965756097560974,88599300,0.9,4.1000000000000005
25,,,0.0,1181320,0.00028812682926829264,590662,0.9,4.1000000000000005
26,,,0.0,904670,0.0002206512195121951,452335,0.9,4.1000000000000005
27,,,0.0,148422,3.6200487804878047e-05,3534,0.9,4.1000000000000005
28,,,0.0,904670,0.0002206512195121951,452335,0.9,4.1000000000000005
29,,,0.0,1795200,0.0004378536585365853,448801,0.9,4.1000000000000005
30,,,0.0,61037000,0.014887073170731705,897602,0.9,4.1000000000000005
31,,,0.0,3000000,0.0007317073170731706,600001,0.9,4.1000000000000005
32,,,0.0,3603,8.787804878048779e-07,600,0.9,4.1000000000000005
3,350.15,350.15,350.15,53,1.7666666666666666e-08,1,0.65,3.0
34,350.15,350.15,350.15,60,2e-08,1,0.65,3.0
49,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
8,351.9,352.45,351.94,30,9.677419354838709e-09,1,0.65,3.1
33,,,0.0,42,1.0243902439024389e-08,1,0.9,4.1000000000000005
35,,,0.0,0,0.0,497,0.65,3.0
36,,,0.0,13140,3.2048780487804875e-06,1460,0.9,4.1000000000000005
37,,,0.0,11680,2.8487804878048776e-06,730,0.9,4.1000000000000005
38,,,0.0,37959,9.258292682926828e-06,1460,0.9,4.1000000000000005
39,,,0.0,2982,7.273170731707317e-07,497,0.9,4.1000000000000005
51,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
50,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
9,351.9,352.45,351.94,1201,3.874193548387097e-07,600,0.65,3.1
10,353.57,354.59,353.61,23740200,0.007658129032258065,359699,0.65,3.1
11,353.57,354.59,353.61,2402,7.748387096774194e-07,600,0.65,3.1
40,,,0.0,58,1.4146341463414633e-08,1,0.9,4.1000000000000005
12,353.57,354.59,353.61,6,1.935483870967742e-09,1,0.65,3.1
