block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
1,77.0,77.0,0.0
4,77.0,77.0,0.0
21,70.30000000000001,70.35000000000002,-0.05000000000001137
2,77.0,77.0,0.0
5,77.0,77.0,0.0
6,77.0,77.0,0.0
7,77.0,77.0,0.0
26,77.0,77.0,0.0
25,69.65000000000003,69.71000000000004,-0.060000000000002274
24,,,
23,,,
22,,,
3,77.0,77.0,0.0
8,77.0,77.0,0.0
27,77.0,77.0,0.0
10,77.0,77.0,0.0
11,77.0,77.0,0.0
9,77.0,77.0,0.0
32,77.0,77.0,0.0
28,77.0,77.0,0.0
29,77.0,77.0,0.0
30,77.0,77.0,0.0
31,77.0,77.0,0.0
12,77.05000000000001,77.08000000000004,-0.03000000000002956
33,77.0,77.0,0.0
15,77.0,77.0,0.0
14,79.24000000000001,79.24000000000001,0.0
13,79.24000000000001,79.24000000000001,0.0
16,77.06,77.09000000000003,-0.03000000000002956
19,77.0,77.0,0.0
18,78.92000000000002,78.92000000000002,0.0
17,78.92000000000002,78.92000000000002,0.0
20,70.30000000000001,70.35000000000002,-0.05000000000001137
