block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,63,2.1e-08,1,0.7,3.0
3,350.15,350.15,350.15,60,2e-08,1,0.7,3.0
2,350.15,350.15,350.15,65761,2.1920333333333334e-05,497,0.7,3.0
1,350.15,350.15,350.15,58,1.9333333333333334e-08,1,0.7,3.0
4,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.7,3.0
5,350.15,350.15,350.15,12,4e-09,1,0.7,3.0
8,350.15,350.15,350.15,3,1e-09,1,0.7,3.0
6,350.15,350.15,350.15,44,1.4666666666666667e-08,1,0.7,3.0
11,350.18,350.24,350.19,21442950,0.00714765,600,0.7,3.0
10,350.18,350.24,350.19,22,7.333333333333334e-09,1,0.7,3.0
9,351.67,352.42,351.69,55813732,0.018604577333333334,700,0.7,3.0
7,341.04,341.1,341.04,11344346607,3.781448869,600,0.7,3.0
12,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.7,3.0
16,350.18,350.21,350.18,16791686,0.005597228666666666,700,0.7,3.0
17,350.15,350.15,350.15,21,7e-09,1,0.7,3.0
18,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.7,3.0
15,350.18,350.21,350.18,13,4.333333333333333e-09,1,0.7,3.0
14,350.18,350.21,350.18,31,1.0333333333333333e-08,1,0.7,3.0
13,351.41,351.71,351.45,9028519,0.0030095063333333335,600,0.7,3.0
19,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.7,3.0
22,350.15,350.15,350.15,77,2.5666666666666668e-08,1,0.7,3.0
23,350.15,350.15,350.15,6,2e-09,1,0.7,3.0
24,350.15,350.15,350.15,6,2e-09,1,0.7,3.0
25,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.7,3.0
26,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.7,3.0
21,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.7,3.0
20,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.7,3.0
27,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.7,3.0
28,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.7,3.0
