block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,108,3.6e-08,1,0.65,3.0
1,350.15,350.15,350.15,46,1.5333333333333335e-08,1,0.65,3.0
4,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
9,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
2,350.15,350.15,350.15,1136,3.7866666666666667e-07,32,0.65,3.0
5,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
6,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
7,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
10,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
13,350.15,350.15,350.15,104,3.4666666666666666e-08,1,0.65,3.0
15,350.15,350.19,350.15,54982495,0.018327498333333334,1000,0.65,3.0
12,351.38,352.14,351.4,79070546,0.026356848666666665,1000,0.65,3.0
14,350.15,350.19,350.15,30,1e-08,1,0.65,3.0
11,351.38,352.14,351.4,24,7.741935483870967e-09,1,0.65,3.1
3,350.15,350.15,350.15,51,1.7e-08,1,0.65,3.0
30,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
8,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
16,,,0.0,0,0.0,1,0.65,3.0
32,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
31,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
18,,,0.0,0,0.0,1,0.65,3.0
19,350.15,350.15,350.15,8434,2.8113333333333335e-06,124,0.65,3.0
17,,,0.0,19,5e-09,1,0.9,3.8
20,,,0.0,0,0.0,1,0.65,3.0
23,,,0.0,0,0.0,1,0.65,3.0
21,350.15,350.15,350.15,8,2.6666666666666666e-09,1,0.65,3.0
24,350.17,350.21,350.17,36181167,0.012060389,1000,0.65,3.0
22,,,0.0,55981995,0.014732103947368421,1000,0.9,3.8
25,350.15,350.15,350.15,87,2.9e-08,1,0.65,3.0
26,350.15,350.15,350.15,201,6.7e-08,1,0.65,3.0
27,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
28,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
29,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
