block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
1,77.0,77.0,0.0
4,77.0,77.0,0.0
2,77.0,77.0,0.0
5,77.0,77.0,0.0
10,77.0,77.0,0.0
9,77.0,77.0,0.0
8,77.0,77.0,0.0
6,77.0,77.0,0.0
7,77.0,77.0,0.0
3,77.0,77.0,0.0
11,77.0,77.0,0.0
19,77.0,77.0,0.0
20,77.0,77.0,0.0
21,77.0,77.0,0.0
22,77.0,77.0,0.0
23,77.0,77.0,0.0
24,77.0,77.0,0.0
25,77.0,77.0,0.0
15,77.0,77.0,0.0
18,77.0,77.0,0.0
14,79.43,79.44,-0.009999999999990905
17,65.34000000000003,65.39000000000004,-0.05000000000001137
13,79.43,79.44,-0.009999999999990905
16,65.34000000000003,65.39000000000004,-0.05000000000001137
12,80.62,80.67000000000002,-0.05000000000001137
