block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,33.0
22,348.16,348.16,348.16,11679.73
23,348.16,348.16,348.16,35039.2
24,348.16,348.18,348.16,2982.088
25,348.16,348.18,348.16,58.0
26,348.16,348.17,348.16,6.0
27,348.16,348.19,348.16,6.0
1,348.17,348.18,348.17,12.0
2,350.35,350.73,350.37,5.0
3,350.37,350.74,350.39,29.0
28,348.17,348.19,348.17,7.0
4,350.38,350.75,350.4,48.0
29,348.18,348.21,348.18,7.0
5,350.4,350.76,350.42,21007.5
8,350.4,350.75,350.42,6.0
30,348.2,348.25,348.2,17.0
6,350.41,350.77,350.43,108663400.0
9,,,0.0,23.0
10,,,0.0,25209.01
11,,,0.0,27440020.0
12,,,0.0,0.0
13,,,0.0,1470001.0
32,348.21,348.26,348.21,5.0
31,348.21,348.26,348.21,1.0
7,350.42,350.77,350.44,5602.001
15,350.42,350.77,350.44,53090000000.0
14,,,0.0,27225640.0
16,,,0.0,15680010.0
17,,,0.0,5602.001
18,,,0.0,30.0
19,,,0.0,60.0
20,,,0.0,0.0
21,,,0.0,13139.7
