block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,required_voltage,required_voltage_value
0,350.16,350.16,350.16,76.0,2.533333333333333e-08,2,0.64
37,350.16,350.16,350.16,6.0,2e-09,2,0.64
38,350.16,350.16,350.16,6.0,2e-09,2,0.64
39,350.16,350.17,350.16,7.0,2.333333333333333e-09,2,0.64
40,350.16,350.17,350.16,7.0,2.333333333333333e-09,2,0.64
41,350.16,350.17,350.16,17.0,5.666666666666667e-09,2,0.64
42,350.16,350.19,350.16,1.0,3.3333333333333327e-10,2,0.64
1,350.17,350.19,350.17,17.0,5.666666666666667e-09,2,0.64
43,350.17,350.19,350.17,5.0,1.6666666666666667e-09,2,0.64
4,350.17,350.2,350.17,34.0,1.1333333333333334e-08,2,0.64
17,350.17,350.18,350.17,35.0,1.1666666666666669e-08,2,0.64
2,350.18,350.2,350.18,5.0,1.6666666666666667e-09,2,0.64
44,350.18,350.21,350.18,20.0,6.666666666666667e-09,2,0.64
5,350.18,350.21,350.18,1001.0,3.336666666666667e-07,2,0.64
6,351.91,352.42,351.95,18135110.0,0.0060450366666666,2,0.64
7,351.93,352.43,351.97,2002.0,6.673333333333334e-07,2,0.64
18,350.18,350.21,350.18,5005.0,1.6683333333333334e-06,2,0.64
19,350.67,350.83,350.69,3565562.0,0.0011885206666666,2,0.64
20,351.15,351.41,351.17,3552549.0,0.001184183,2,0.64
21,350.68,350.83,350.7,5505.5,1.8351666666666664e-06,2,0.64
22,350.88,351.0,350.9,1800001.0,0.0006000003333333,2,0.64
23,,,0.0,0.0,0.0,0,0.6
24,,,0.0,637500.4,0.0002125001333333,0,0.6
25,351.87,352.2,351.92,7143754.0,0.0023812513333333,2,0.64
26,343.44,343.53,343.45,7366997000.0,2.4556656666666665,3,0.66
27,,,0.0,2400002.0,0.0008000006666666,0,0.6
28,,,0.0,2002.0,6.673333333333334e-07,0,0.6
3,350.19,350.21,350.19,58.0,1.933333333333333e-08,2,0.64
30,350.19,350.21,350.19,60.0,2e-08,2,0.64
45,350.19,350.25,350.19,2.0,6.666666666666665e-10,2,0.64
8,351.94,352.43,351.98,24.0,8e-09,2,0.64
29,,,0.0,42.0,1.4e-08,0,0.6
32,350.16,350.18,350.16,13139.7,4.3799e-06,2,0.64
33,350.17,350.2,350.17,11679.73,3.8932433333333335e-06,2,0.64
34,350.18,350.22,350.18,37959.14,1.2653046666666666e-05,2,0.64
35,350.2,350.26,350.2,2982.088,9.940293333333334e-07,2,0.64
31,,,0.0,0.0,0.0,0,0.6
47,350.2,350.26,350.21,21.0,7e-09,2,0.64
46,350.2,350.26,350.2,13.0,4.333333333333333e-09,2,0.64
9,351.96,352.44,352.0,1501.5,5.005e-07,2,0.64
10,353.61,354.62,353.66,23983960.0,0.0079946533333333,2,0.64
11,353.63,354.62,353.67,2002.0,6.673333333333334e-07,2,0.64
36,350.21,350.27,350.21,58.0,1.933333333333333e-08,2,0.64
12,353.64,354.62,353.69,24.0,8e-09,2,0.64
13,353.66,354.62,353.71,1201.0,4.003333333333334e-07,2,0.64
14,355.18,356.61,355.24,21758520.0,0.00725284,2,0.64
15,355.2,356.61,355.26,2402.0,8.006666666666667e-07,2,0.64
16,355.22,356.61,355.27,6.0,2e-09,2,0.64
