block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,201.0
22,348.16,348.16,348.16,8433.594
23,348.16,348.16,348.16,0.0
24,348.16,348.18,348.16,19.0
25,348.16,348.18,348.16,0.0
26,348.16,348.17,348.16,6003.001
27,348.16,348.19,348.16,54972490.0
1,348.17,348.18,348.17,17.0
2,350.35,350.73,350.37,5.0
3,350.37,350.74,350.39,108.0
28,348.17,348.19,348.17,4002.001
4,350.38,350.75,350.4,104.0
29,348.18,348.21,348.18,30.0
5,350.4,350.76,350.42,107053.5
8,350.4,350.75,350.42,24.0
30,348.2,348.25,348.2,51.0
6,350.41,350.77,350.43,78960490.0
9,,,0.0,87.0
10,,,0.0,2001.0
11,,,0.0,0.0
12,,,0.0,766.008
13,,,0.0,13897.57
32,348.21,348.26,348.21,176.0026
31,348.21,348.26,348.21,288.0043
7,350.42,350.77,350.44,3001.501
15,350.42,350.77,350.44,4002.001
14,,,0.0,36160500.0
16,,,0.0,0.0
17,,,0.0,6003.001
18,,,0.0,55971990.0
19,,,0.0,4002.001
20,,,0.0,8.0
21,,,0.0,0.0
