block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,100.0,3.3333333333333334e-08,1,0.65,3.0366143
41,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
42,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
43,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
44,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
45,350.15,350.16,350.15,17.0,5.666666666666667e-09,1,0.65,3.0366143
46,350.15,350.17,350.15,1.0,3.3333333333333327e-10,1,0.65,3.0366935999999995
1,350.16,350.18,350.16,17.0,5.666666666666667e-09,1,0.65,3.0367729
47,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1,0.65,3.0367729
4,350.16,350.19,350.16,34.0,1.1333333333333334e-08,1,0.65,3.0368522000000002
21,350.16,350.17,350.16,15.0,5e-09,1,0.65,3.0366935999999995
2,350.17,350.18,350.17,5.0,1.6666666666666667e-09,1,0.65,3.0367729
48,350.17,350.19,350.17,20.0,6.666666666666667e-09,1,0.65,3.0368522000000002
5,350.17,350.2,350.17,800.9999,2.669999666666667e-07,400,0.65,3.0369314999999997
6,351.75,352.19,351.79,14071970.0,0.0046906566666666,219874,0.65,3.0527122
7,351.76,352.19,351.8,1602.0,5.34e-07,400,0.65,3.0527122
22,350.17,350.19,350.17,1602.0,5.34e-07,400,0.65,3.0368522000000002
23,350.22,350.32,350.22,720001.0,0.0002400003333333,360001,0.65,3.0378831
24,341.17,341.21,341.17,11088010000.0,3.6960033333333335,198000000,0.8,3.6697936
25,341.39,341.66,341.38,1440002.0,0.0004800006666666,360001,0.8,3.6736456000000004
26,341.4,341.69,341.4,1602.0,5.34e-07,400,0.8,3.6739024000000002
3,350.18,350.19,350.18,68.0,2.2666666666666668e-08,1,0.65,3.0368522000000002
34,350.18,350.19,350.18,60.0,2e-08,1,0.65,3.0368522000000002
49,350.18,350.22,350.18,2.0,6.666666666666665e-10,1,0.65,3.0370901000000003
8,351.77,352.19,351.81,24.0,8e-09,1,0.65,3.0527122
51,350.19,350.23,350.19,21.0,7e-09,1,0.65,3.0371694
50,350.19,350.23,350.19,13.0,4.333333333333333e-09,1,0.65,3.0371694
9,351.78,352.19,351.82,1651.5,5.505e-07,550,0.65,3.0527122
10,353.41,354.33,353.46,19773960.0,0.00659132,247175,0.65,3.0696823999999996
11,353.43,354.33,353.47,2202.0,7.34e-07,550,0.65,3.0696823999999996
32,350.15,350.17,350.15,1602.0,5.34e-07,400,0.65,3.0366935999999995
12,353.44,354.33,353.48,30.0,1e-08,1,0.65,3.0696823999999996
33,350.16,350.18,350.16,24.0,8e-09,1,0.65,3.0367729
13,353.45,354.33,353.5,901.0001,3.003333666666667e-07,450,0.65,3.0696823999999996
14,354.95,356.25,355.0,18079920.0,0.00602664,269849,0.65,3.0849079999999995
15,354.96,356.25,355.02,1802.0,6.006666666666666e-07,450,0.65,3.0849079999999995
16,354.98,356.25,355.03,24.0,8e-09,1,0.65,3.0849079999999995
17,355.0,356.25,355.05,800.9999,2.669999666666667e-07,400,0.65,3.0849079999999995
18,356.35,357.98,356.41,15833360.0,0.0052777866666666,239899,0.65,3.0986268999999993
19,356.37,357.98,356.43,1602.0,5.34e-07,400,0.65,3.0986268999999993
20,356.38,357.98,356.44,6.0,2e-09,1,0.65,3.0986268999999993
