block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count
0,350.16,350.17,350.16,100.0,3.3333333333333334e-08,1
47,350.16,350.16,350.16,6.0,2e-09,1
48,350.16,350.16,350.16,6.0,2e-09,1
49,350.16,350.17,350.16,7.0,2.333333333333333e-09,1
50,350.16,350.17,350.16,7.0,2.333333333333333e-09,1
51,350.16,350.17,350.16,17.0,5.666666666666667e-09,1
52,350.16,350.19,350.16,1.0,3.333333333333333e-10,1
1,350.17,350.19,350.17,17.0,5.666666666666667e-09,1
53,350.17,350.19,350.17,5.0,1.6666666666666667e-09,1
4,350.17,350.19,350.17,30.0,1e-08,1
21,350.17,350.18,350.17,30.0,1e-08,1
2,350.18,350.21,350.18,10.0,3.3333333333333334e-09,1
54,350.18,350.21,350.18,20.0,6.666666666666667e-09,1
5,350.18,350.21,350.18,800.9999,2.669999666666667e-07,400
6,351.71,352.1,351.74,12790370.0,0.004263456666666667,199850
7,351.72,352.11,351.76,1602.0,5.34e-07,400
22,350.18,350.2,350.18,1602.0,5.34e-07,400
23,350.24,350.38,350.24,720001.0,0.00024000033333333333,360001
24,342.78,342.86,342.78,8280012000.0,2.760004,180000000
25,342.98,343.22,342.98,1440002.0,0.00048000066666666665,360001
26,343.0,343.25,343.0,1602.0,5.34e-07,400
3,350.19,350.22,350.19,83.0,2.7666666666666666e-08,1
40,350.19,350.22,350.19,60.0,2e-08,1
55,350.19,350.25,350.2,2.0,6.666666666666666e-10,1
8,351.74,352.12,351.78,30.0,1e-08,1
27,,,0.0,0.0,0.0,1
41,,,0.0,0.0,0.0,497
42,,,0.0,13139.7,4.3799e-06,1460
43,,,0.0,11679.73,3.8932433333333335e-06,730
44,,,0.0,37959.14,1.2653046666666666e-05,1460
45,,,0.0,2982.088,9.940293333333334e-07,497
57,350.2,350.26,350.21,21.0,7e-09,1
56,350.2,350.26,350.21,13.0,4.333333333333333e-09,1
9,351.76,352.13,351.79,1001.0,3.336666666666667e-07,500
10,353.29,354.09,353.35,15056540.0,0.005018846666666667,224724
11,353.31,354.09,353.36,2002.0,6.673333333333334e-07,500
32,350.16,350.19,350.16,1802.0,6.006666666666666e-07,450
28,,,0.0,1802.0,6.006666666666666e-07,450
29,,,0.0,990001.1,0.00033000036666666665,495001
30,,,0.0,13662020000.0,4.554006666666667,297000000
31,,,0.0,1980002.0,0.0006600006666666666,495001
46,,,0.0,58.0,1.9333333333333334e-08,1
12,353.32,354.09,353.37,30.0,1e-08,1
33,,,0.0,0.0,0.0,1
13,353.34,354.09,353.39,901.0001,3.003333666666667e-07,450
14,354.83,356.05,354.89,18079920.0,0.00602664,269849
15,354.85,356.05,354.91,1802.0,6.006666666666666e-07,450
34,,,0.0,1602.0,5.34e-07,400
35,,,0.0,880000.9,0.0002933336333333333,440000
36,,,0.0,9108009000.0,3.036003,198000000
37,,,0.0,1760002.0,0.0005866673333333333,440000
38,,,0.0,1602.0,5.34e-07,400
16,354.86,356.05,354.92,24.0,8e-09,1
39,,,0.0,36.0,1.2e-08,1
17,354.88,356.05,354.94,1201.0,4.0033333333333336e-07,600
18,356.27,357.94,356.33,21758520.0,0.00725284,329675
19,356.29,357.94,356.35,2402.0,8.006666666666667e-07,600
20,356.31,357.94,356.37,6.0,2e-09,1
