block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
36,0.65,3.0366143,0.65
37,0.65,3.0366143,0.65
38,0.65,3.0366935999999995,0.65
39,0.65,3.0366935999999995,0.65
40,0.65,3.0366143,0.65
41,0.65,3.0366935999999995,0.65
1,0.65,3.0368522,0.65
2,0.65,3.0477162999999994,0.65
3,0.65,3.0477956,0.65
42,0.65,3.0367729,0.65
4,0.65,3.0478749,0.65
43,0.65,3.0368522,0.65
5,0.65,3.0479541999999995,0.65
8,0.65,3.0479541999999995,0.65
44,0.65,3.0370901000000003,0.65
6,0.65,3.0480335,0.65
9,0.65,3.0480335,0.65
10,0.65,3.0611973,0.65
13,0.65,3.0622282,0.65
14,0.8,3.661918400000001,0.8
46,0.65,3.0371694,0.65
45,0.65,3.0371694,0.65
7,0.65,3.0481128,0.65
29,0.65,3.0481128,0.65
32,0.65,3.0366143,0.65
33,0.65,3.0367729,0.65
34,0.65,3.0369315,0.65
35,0.65,3.037010799999999,0.65
