block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count
0,350.15,350.16,350.15,71.0,2.3666666666666667e-08,1
26,350.15,350.16,350.15,6.0,2e-09,1
27,350.15,350.16,350.15,6.0,2e-09,1
28,350.15,350.17,350.15,7.0,2.333333333333333e-09,1
29,350.15,350.17,350.15,7.0,2.333333333333333e-09,1
30,350.15,350.16,350.15,17.0,5.666666666666667e-09,1
31,350.15,350.17,350.15,1.0,3.333333333333333e-10,1
1,350.16,350.17,350.16,12.0,4e-09,1
32,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1
4,350.16,350.17,350.16,36.0,1.2e-08,1
11,350.16,350.17,350.16,44.0,1.4666666666666667e-08,1
2,350.17,350.18,350.17,5.0,1.6666666666666667e-09,1
33,350.17,350.19,350.17,20.0,6.666666666666667e-09,1
5,350.17,350.18,350.17,16800.0,5.6e-06,175
12,350.18,350.27,350.18,950.5,3.1683333333333333e-07,950
13,351.81,352.54,351.84,43850360.0,0.014616786666666666,664399
14,351.82,352.54,351.86,1901.0,6.336666666666667e-07,950
15,,,0.0,0.0,0.0,7
16,,,0.0,430.6953,1.435651e-07,7
17,351.84,352.54,351.87,6601.519,2.2005063333333332e-06,943
18,353.57,354.66,353.62,22237690.0,0.007412563333333334,494171
19,,,0.0,3802.0,1.2673333333333333e-06,950
3,350.18,350.19,350.18,63.0,2.1e-08,1
21,350.18,350.19,350.18,51.0,1.7e-08,1
34,350.18,350.22,350.18,2.0,6.666666666666666e-10,1
6,350.18,350.2,350.18,36.0,1.2e-08,1
20,,,0.0,36.0,1.2e-08,1
24,350.15,350.16,350.15,672.0099,2.240033e-07,32
22,350.19,350.21,350.19,288.0043,9.600143333333334e-08,32
23,350.2,350.22,350.2,176.0026,5.866753333333333e-08,16
36,350.19,350.23,350.19,21.0,7e-09,1
35,350.19,350.23,350.19,13.0,4.333333333333333e-09,1
8,350.14,350.17,350.15,58771320.0,0.01959044,498062
9,350.16,350.2,350.16,3802.0,1.2673333333333333e-06,950
7,350.19,350.22,350.19,2851.5,9.505e-07,950
25,350.16,350.17,350.16,46.0,1.5333333333333335e-08,1
10,350.16,350.21,350.17,6.0,2e-09,1
