block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,71.0,2.3666666666666667e-08,1,0.65,3.0366143
26,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
27,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
28,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
29,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
30,350.15,350.16,350.15,17.0,5.666666666666667e-09,1,0.65,3.0366143
31,350.15,350.17,350.15,1.0,3.3333333333333327e-10,1,0.65,3.0366935999999995
1,350.16,350.17,350.16,12.0,4e-09,1,0.65,3.0366935999999995
32,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1,0.65,3.0367729
4,350.16,350.17,350.16,36.0,1.2e-08,1,0.65,3.0366935999999995
11,350.16,350.17,350.16,44.0,1.4666666666666669e-08,1,0.65,3.0366935999999995
2,350.17,350.18,350.17,5.0,1.6666666666666667e-09,1,0.65,3.0367729
33,350.17,350.19,350.17,20.0,6.666666666666667e-09,1,0.65,3.0368522000000002
5,350.17,350.18,350.17,16800.0,5.6e-06,175,0.65,3.0367729
12,350.18,350.27,350.18,950.5,3.1683333333333333e-07,950,0.65,3.0374865999999994
13,351.81,352.54,351.84,43850360.0,0.0146167866666666,664399,0.65,3.0554877000000005
14,351.82,352.54,351.86,1901.0,6.336666666666667e-07,950,0.65,3.0554877000000005
17,351.84,352.54,351.87,6601.519,2.200506333333333e-06,943,0.65,3.0554877000000005
18,353.57,354.66,353.62,22237690.0,0.0074125633333333,494171,0.65,3.0722993
3,350.18,350.19,350.18,63.0,2.1e-08,1,0.65,3.0368522000000002
21,350.18,350.19,350.18,51.0,1.7e-08,1,0.65,3.0368522000000002
34,350.18,350.22,350.18,2.0,6.666666666666665e-10,1,0.65,3.0370901000000003
6,350.18,350.2,350.18,36.0,1.2e-08,1,0.65,3.0369314999999997
24,350.15,350.16,350.15,672.0099,2.240033e-07,32,0.65,3.0366143
22,350.19,350.21,350.19,288.0043,9.600143333333335e-08,32,0.65,3.037010799999999
23,350.2,350.22,350.2,176.0026,5.866753333333333e-08,16,0.65,3.0370901000000003
36,350.19,350.23,350.19,21.0,7e-09,1,0.65,3.0371694
35,350.19,350.23,350.19,13.0,4.333333333333333e-09,1,0.65,3.0371694
8,350.14,350.17,350.15,58771320.0,0.01959044,498062,0.65,3.0366935999999995
9,350.16,350.2,350.16,3802.0,1.2673333333333331e-06,950,0.65,3.0369314999999997
7,350.19,350.22,350.19,2851.5,9.505e-07,950,0.65,3.0370901000000003
25,350.16,350.17,350.16,46.0,1.5333333333333335e-08,1,0.65,3.0366935999999995
10,350.16,350.21,350.17,6.0,2e-09,1,0.65,3.037010799999999
