block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count
0,350.16,350.16,350.16,61.0,2.0333333333333333e-08,1
33,350.16,350.16,350.16,6.0,2e-09,1
34,350.16,350.16,350.16,6.0,2e-09,1
35,350.16,350.17,350.16,7.0,2.333333333333333e-09,1
36,350.16,350.17,350.16,7.0,2.333333333333333e-09,1
37,350.16,350.17,350.16,17.0,5.666666666666667e-09,1
38,350.16,350.19,350.16,1.0,3.333333333333333e-10,1
1,350.17,350.2,350.17,1401.0,4.67e-07,700
2,351.82,352.28,351.86,15525180.0,0.00517506,419599
3,351.84,352.29,351.88,2802.0,9.34e-07,700
39,350.17,350.19,350.17,5.0,1.6666666666666667e-09,1
4,351.86,352.3,351.89,13.0,4.333333333333333e-09,1
40,350.18,350.21,350.18,20.0,6.666666666666667e-09,1
5,351.87,352.31,351.91,12.0,4e-09,1
8,,,0.0,0.0,0.0,1
41,350.19,350.25,350.19,2.0,6.666666666666666e-10,1
6,351.89,352.32,351.92,5.0,1.6666666666666667e-09,1
9,,,0.0,600.5001,2.001667e-07,600
10,,,0.0,9011705.0,0.0030039016666666665,209575
11,,,0.0,16213.5,5.4045e-06,600
43,350.2,350.26,350.21,21.0,7e-09,1
42,350.2,350.26,350.2,13.0,4.333333333333333e-09,1
7,351.9,352.32,351.94,51.0,1.7e-08,1
26,351.9,352.32,351.94,60.0,2e-08,1
12,,,0.0,7.0,2.333333333333333e-09,1
27,,,0.0,0.0,0.0,497
28,,,0.0,13139.7,4.3799e-06,1460
29,,,0.0,11679.73,3.8932433333333335e-06,730
30,,,0.0,37959.14,1.2653046666666666e-05,1460
31,,,0.0,2982.088,9.940293333333334e-07,497
13,,,0.0,1401.0,4.67e-07,700
14,,,0.0,0.0,0.0,695
15,,,0.0,7042017.0,0.002347339,103559
16,,,0.0,0.0,0.0,5
17,,,0.0,279.1055,9.303516666666667e-08,5
18,,,0.0,2802.0,9.34e-07,700
32,,,0.0,58.0,1.9333333333333334e-08,1
19,,,0.0,9.0,3e-09,1
20,,,0.0,2402.0,8.006666666666667e-07,600
21,,,0.0,720601.2,0.00024020039999999998,360301
22,,,0.0,11349470000.0,3.7831566666666667,252210000
23,,,0.0,11529620.0,0.003843206666666667,360301
24,,,0.0,2402.0,8.006666666666667e-07,600
25,,,0.0,6.0,2e-09,1
