block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
28,0.65,3.0366143,0.65
29,0.65,3.0366143,0.65
30,0.65,3.0366935999999995,0.65
31,0.65,3.0366935999999995,0.65
32,0.65,3.0366143,0.65
33,0.65,3.0366935999999995,0.65
1,0.65,3.0367729,0.65
34,0.65,3.0366935999999995,0.65
2,0.65,3.0368522,0.65
35,0.65,3.0369315,0.65
3,0.65,3.0369315,0.65
6,0.65,3.0369315,0.65
37,0.65,3.037010799999999,0.65
36,0.65,3.037010799999999,0.65
4,0.65,3.037010799999999,0.65
7,0.65,3.0371694,0.65
8,0.65,3.0374073,0.65
9,0.65,3.0372487,0.65
10,0.65,3.055567,0.65
11,0.65,3.0376452,0.65
12,0.65,3.0378038,0.65
13,0.65,3.0378831,0.65
14,0.65,3.0377244999999995,0.65
15,0.65,3.0378831,0.65
16,0.65,3.0378831,0.65
17,0.65,3.051839899999999,0.65
18,0.65,3.0519191999999995,0.65
19,0.65,3.038041699999999,0.65
20,0.65,3.0381210000000003,0.65
21,0.65,3.0382003,0.65
5,0.65,3.0370901000000003,0.65
23,0.65,3.0370901000000003,0.65
22,0.65,3.0382003,0.65
24,0.65,3.0372487,0.65
25,0.65,3.037328,0.65
26,0.65,3.0374073,0.65
27,0.65,3.0374866,0.65
