block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
57,0.65,3.0366143,0.65
58,0.65,3.0366143,0.65
59,0.65,3.0366935999999995,0.65
60,0.65,3.0366935999999995,0.65
61,0.65,3.0366143,0.65
62,0.65,3.0366935999999995,0.65
1,0.65,3.0366935999999995,0.65
4,0.65,3.0366935999999995,0.65
27,0.65,3.0366935999999995,0.65
2,0.65,3.0367729,0.65
5,0.65,3.0368522,0.65
6,0.65,3.0560428,0.65
7,0.65,3.0560428,0.65
8,0.65,3.0560428,0.65
9,0.65,3.0560428,0.65
28,0.65,3.0369315,0.65
29,0.65,3.037010799999999,0.65
30,0.65,3.0390726,0.65
31,0.65,3.0391519,0.65
32,0.65,3.0507297,0.65
33,0.65,3.050808999999999,0.65
34,0.65,3.0512055,0.65
35,0.8,3.6532728,0.8
36,0.65,3.0526329,0.65
37,0.65,3.0668276,0.65
38,0.65,3.0577874,0.65
39,0.65,3.0577874,0.65
40,0.65,3.0594527,0.65
41,0.65,3.0703168000000005,0.65
42,0.65,3.0703961,0.65
45,0.65,3.0720614,0.65
46,0.65,3.0852252,0.65
47,0.65,3.0895074,0.65
48,0.65,3.0895074,0.65
3,0.65,3.0368522,0.65
50,0.65,3.0368522,0.65
10,0.65,3.0560428,0.65
49,0.65,3.0895074,0.65
11,0.65,3.0560428,0.65
12,0.65,3.070634,0.65
15,0.65,3.0844322,0.65
16,0.8,3.574777600000001,0.8
63,0.65,3.0367729,0.65
64,0.65,3.0368522,0.65
65,0.65,3.0370901000000003,0.65
67,0.65,3.0371694,0.65
66,0.65,3.0371694,0.65
