block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count
0,350.15,350.16,350.15,33.0,1.1e-08,1
57,350.15,350.16,350.15,6.0,2e-09,1
58,350.15,350.16,350.15,6.0,2e-09,1
59,350.15,350.17,350.15,7.0,2.333333333333333e-09,1
60,350.15,350.17,350.15,7.0,2.333333333333333e-09,1
61,350.15,350.16,350.15,17.0,5.666666666666667e-09,1
62,350.15,350.17,350.15,1.0,3.333333333333333e-10,1
1,350.16,350.17,350.16,12.0,4e-09,1
4,350.16,350.17,350.16,48.0,1.6e-08,1
27,350.16,350.17,350.16,16.0,5.333333333333333e-09,1
2,350.17,350.18,350.17,5.0,1.6666666666666667e-09,1
5,350.17,350.19,350.17,9004.502,3.0015006666666667e-06,1000
6,351.91,352.61,351.94,34017020.0,0.011339006666666667,1000500
7,351.92,352.61,351.95,2001.0,6.67e-07,1000
8,351.93,352.61,351.96,17000.0,5.666666666666667e-06,1000
9,351.95,352.61,351.97,11005.5,3.6685e-06,1000
28,350.17,350.2,350.17,2001.0,6.67e-07,1000
29,350.18,350.21,350.18,4000.001,1.3333336666666668e-06,1000
30,350.4,350.47,350.4,1999001.0,0.0006663336666666667,999501
31,350.41,350.48,350.42,7.0,2.333333333333333e-09,1
32,351.62,351.94,351.65,8995501.0,0.0029985003333333335,999500
33,351.63,351.95,351.66,7808.595,2.602865e-06,7809
34,351.69,352.0,351.72,991691.5,0.00033056383333333335,991692
35,339.23,339.28,339.23,15190730000.0,5.063576666666667,330233000
36,351.84,352.18,351.88,1999000.0,0.0006663333333333333,999500
37,353.24,353.97,353.29,12493750.0,0.0041645833333333335,499750
38,352.08,352.83,352.11,36981520.0,0.012327173333333333,999501
39,352.09,352.83,352.12,5002.501,1.6675003333333335e-06,1000
40,352.32,353.04,352.35,2002002.0,0.000667334,1001000
41,353.51,354.41,353.56,9009006.0,0.003003002,1001000
42,353.52,354.42,353.57,7820.317,2.6067723333333334e-06,7820
43,,,0.0,0.0,0.0,993180
44,,,0.0,15213540000.0,5.07118,330729000
45,353.74,354.63,353.79,2002001.0,0.0006673336666666666,1001000
46,355.06,356.29,355.12,12512510.0,0.004170836666666667,500500
47,355.57,356.83,355.63,4004005.0,0.0013346683333333334,1001000
48,355.59,356.83,355.65,5002.501,1.6675003333333335e-06,1000
3,350.18,350.19,350.18,29.0,9.666666666666667e-09,1
50,350.18,350.19,350.18,60.0,2e-08,1
10,351.96,352.61,351.99,13.0,4.333333333333333e-09,1
49,355.6,356.83,355.66,24.0,8e-09,1
51,,,0.0,0.0,0.0,497
52,,,0.0,13139.7,4.3799e-06,1460
53,,,0.0,11679.73,3.8932433333333335e-06,730
54,,,0.0,37959.14,1.2653046666666666e-05,1460
55,,,0.0,2982.088,9.940293333333334e-07,497
11,351.97,352.61,352.0,7003.502,2.334500666666667e-06,1000
12,353.51,354.45,353.56,14000010.0,0.00466667,2000000
13,,,0.0,0.0,0.0,15625
14,,,0.0,1000001.0,0.00033333366666666664,31250
15,354.93,356.19,354.99,13890640.0,0.004630213333333333,1984380
16,330.05,330.11,330.05,59531310000.0,19.84377,992188000
17,,,0.0,8000007.0,0.002666669,2000000
18,,,0.0,4002.001,1.3340003333333334e-06,1000
63,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1
56,,,0.0,58.0,1.9333333333333334e-08,1
19,,,0.0,1.0,3.333333333333333e-10,1
64,350.17,350.19,350.17,20.0,6.666666666666667e-09,1
20,,,0.0,2001.0,6.67e-07,1000
21,,,0.0,0.0,0.0,993
22,,,0.0,8916287.0,0.002972095666666667,495349
23,,,0.0,0.0,0.0,8
24,,,0.0,234.4922,7.816406666666666e-08,23
25,,,0.0,5002.501,1.6675003333333335e-06,1000
65,350.18,350.22,350.18,2.0,6.666666666666666e-10,1
26,,,0.0,38.0,1.2666666666666666e-08,1
67,350.19,350.23,350.19,21.0,7e-09,1
66,350.19,350.23,350.19,13.0,4.333333333333333e-09,1
