block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
78,0.65,3.0366143,0.65
79,0.65,3.0366143,0.65
80,0.65,3.0366935999999995,0.65
81,0.65,3.0366935999999995,0.65
82,0.65,3.0366143,0.65
83,0.65,3.0366935999999995,0.65
1,0.65,3.0366935999999995,0.65
4,0.65,3.0366935999999995,0.65
34,0.65,3.0366935999999995,0.65
2,0.65,3.0367729,0.65
5,0.65,3.0367729,0.65
35,0.65,3.0369315,0.65
36,0.65,3.037010799999999,0.65
37,0.65,3.047637,0.65
38,0.65,3.0494609,0.65
39,0.65,3.0495402,0.65
40,0.65,3.0500160000000003,0.65
41,0.8,3.655584000000001,0.8
42,0.65,3.0514434,0.65
43,0.65,3.0654795000000004,0.65
44,0.65,3.0809429999999995,0.65
45,0.65,3.0809429999999995,0.65
46,0.65,3.0899038999999995,0.65
47,0.65,3.0914106,0.65
48,0.65,3.0914106,0.65
51,0.65,3.0929173,0.65
52,0.65,3.1050502,0.65
53,0.65,3.1115528,0.65
54,0.65,3.1115528,0.65
3,0.65,3.0368522,0.65
73,0.65,3.0368522,0.65
6,0.65,3.0368522,0.65
55,0.65,3.1115528,0.65
74,0.65,3.037010799999999,0.65
75,0.65,3.0370901000000003,0.65
76,0.65,3.0372487,0.65
7,0.65,3.0370901000000003,0.65
8,0.65,3.037328,0.65
9,0.65,3.0371694,0.65
10,0.65,3.0544568000000005,0.65
11,0.65,3.0544568000000005,0.65
12,0.65,3.0375659,0.65
13,0.65,3.0376452,0.65
14,0.65,3.0545361,0.65
15,0.65,3.0545361,0.65
16,0.65,3.0545361,0.65
56,0.65,3.1115528,0.65
57,0.65,3.1115528,0.65
58,0.65,3.1115528,0.65
59,0.65,3.1115528,0.65
60,0.65,3.1249545000000003,0.65
61,0.65,3.1115528,0.65
62,0.65,3.1115528,0.65
63,0.65,3.1115528,0.65
77,0.65,3.037328,0.65
17,0.65,3.0545361,0.65
64,0.65,3.1115528,0.65
18,0.65,3.0545361,0.65
19,0.65,3.0695238,0.65
22,0.65,3.083322,0.65
23,0.8,3.574777600000001,0.8
84,0.65,3.0367729,0.65
65,0.65,3.1115528,0.65
66,0.65,3.1115528,0.65
67,0.65,3.1115528,0.65
68,0.65,3.1115528,0.65
69,0.65,3.1115528,0.65
70,0.65,3.125351,0.65
71,0.65,3.1115528,0.65
85,0.65,3.0368522,0.65
72,0.65,3.1115528,0.65
32,0.65,3.0366935999999995,0.65
86,0.65,3.0370901000000003,0.65
33,0.65,3.0367729,0.65
88,0.65,3.0371694,0.65
87,0.65,3.0371694,0.65
