block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count
0,350.15,350.16,350.15,71.0,2.3666666666666667e-08,1
78,350.15,350.16,350.15,6.0,2e-09,1
79,350.15,350.16,350.15,6.0,2e-09,1
80,350.15,350.17,350.15,7.0,2.333333333333333e-09,1
81,350.15,350.17,350.15,7.0,2.333333333333333e-09,1
82,350.15,350.16,350.15,17.0,5.666666666666667e-09,1
83,350.15,350.17,350.15,1.0,3.333333333333333e-10,1
1,350.16,350.17,350.16,12.0,4e-09,1
4,350.16,350.17,350.16,53.0,1.7666666666666666e-08,1
34,350.16,350.17,350.16,21.0,7e-09,1
2,350.17,350.18,350.17,5.0,1.6666666666666667e-09,1
5,350.17,350.18,350.17,40020.01,1.3340003333333334e-05,1000
35,350.17,350.2,350.17,2001.0,6.67e-07,1000
36,350.18,350.21,350.18,4000.001,1.3333336666666668e-06,1000
37,351.3,351.55,351.33,7996005.0,0.002665335,999501
38,351.52,351.78,351.55,1999000.0,0.0006663333333333333,999500
39,351.53,351.79,351.56,7808.595,2.602865e-06,7809
40,351.59,351.85,351.62,991691.5,0.00033056383333333335,991692
41,339.52,339.55,339.52,14530260000.0,4.84342,330233000
42,351.74,352.03,351.78,1999000.0,0.0006663333333333333,999500
43,353.11,353.8,353.17,11994000.0,0.003998,499750
44,354.4,355.75,354.45,37981020.0,0.01266034,999501
45,354.42,355.75,354.46,5002.501,1.6675003333333335e-06,1000
46,355.45,356.88,355.51,8008009.0,0.002669336333333333,1001000
47,355.67,357.07,355.72,2002001.0,0.0006673336666666666,1001000
48,355.69,357.07,355.74,7820.317,2.6067723333333334e-06,7820
49,,,0.0,0.0,0.0,993180
50,,,0.0,14552080000.0,4.850693333333333,330729000
51,355.9,357.26,355.95,2002001.0,0.0006673336666666666,1001000
52,357.06,358.79,357.13,12012010.0,0.004004003333333333,500500
53,357.79,359.61,357.87,6006007.0,0.0020020023333333333,1001000
54,357.81,359.61,357.88,5002.501,1.6675003333333335e-06,1000
3,350.18,350.19,350.18,63.0,2.1e-08,1
73,350.18,350.19,350.18,51.0,1.7e-08,1
6,350.18,350.19,350.18,19.0,6.333333333333333e-09,1
55,357.83,359.61,357.9,1.0,3.333333333333333e-10,1
74,350.19,350.21,350.19,288.0043,9.600143333333334e-08,32
75,350.2,350.22,350.2,176.0026,5.866753333333333e-08,16
76,350.21,350.24,350.21,672.0099,2.240033e-07,32
7,350.19,350.22,350.19,2001.0,6.67e-07,1000
8,350.2,350.25,350.2,7.816408,2.6054693333333334e-09,8
9,350.2,350.23,350.2,8934.154,2.9780513333333336e-06,993
10,351.89,352.41,351.93,17371970.0,0.005790656666666666,496342
11,351.91,352.41,351.94,1985.368,6.617893333333333e-07,993
12,350.21,350.28,350.22,504.1583,1.6805276666666668e-07,504
13,350.22,350.29,350.23,40332.67,1.3444223333333334e-05,1008
14,351.92,352.42,351.95,2001.0,6.67e-07,1000
15,351.93,352.42,351.96,38000.01,1.2666670000000001e-05,1000
16,351.94,352.42,351.97,11005.5,3.6685e-06,1000
56,357.85,359.61,357.92,8004.002,2.668000666666667e-06,1000
57,357.87,359.61,357.93,2000.0,6.666666666666667e-07,1000
58,357.89,359.61,357.95,7.812502,2.6041673333333336e-09,8
59,357.89,359.61,357.95,992.1877,3.307292333333333e-07,992
60,358.96,361.3,359.04,21332040.0,0.00711068,496094
61,357.91,359.61,357.96,2000.0,6.666666666666667e-07,1000
62,357.92,359.61,357.98,12000.0,4e-06,500
63,357.94,359.61,357.99,5002.501,1.6675003333333335e-06,1000
77,350.22,350.25,350.22,46.0,1.5333333333333335e-08,1
17,351.95,352.42,351.99,13.0,4.333333333333333e-09,1
64,357.96,359.61,358.01,1.0,3.333333333333333e-10,1
18,351.96,352.42,352.0,7003.502,2.334500666666667e-06,1000
19,353.46,354.31,353.51,14000010.0,0.00466667,2000000
20,,,0.0,0.0,0.0,15625
21,,,0.0,1843752.0,0.000614584,31250
22,354.85,356.05,354.92,13890640.0,0.004630213333333333,1984380
23,330.05,330.11,330.05,59531310000.0,19.84377,992188000
24,,,0.0,8000007.0,0.002666669,2000000
25,,,0.0,4002.001,1.3340003333333334e-06,1000
84,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1
65,357.98,359.61,358.02,8004.002,2.668000666666667e-06,1000
66,357.99,359.61,358.04,2000.0,6.666666666666667e-07,1000
67,358.01,359.61,358.06,992.1877,3.307292333333333e-07,992
68,358.01,359.61,358.06,195.3125,6.510416666666667e-08,8
69,358.03,359.61,358.07,2000.0,6.666666666666667e-07,1000
70,359.03,361.35,359.12,21332040.0,0.00711068,496094
71,358.05,359.61,358.09,37018.51,1.2339503333333334e-05,1000
26,,,0.0,1.0,3.333333333333333e-10,1
85,350.17,350.19,350.17,20.0,6.666666666666667e-09,1
72,358.06,359.61,358.1,30.0,1e-08,1
32,350.15,350.17,350.15,5002.501,1.6675003333333335e-06,1000
27,,,0.0,2001.0,6.67e-07,1000
28,,,0.0,0.0,0.0,993
29,,,0.0,7909705.0,0.0026365683333333333,247178
30,,,0.0,0.0,0.0,8
31,,,0.0,234.4922,7.816406666666666e-08,23
86,350.18,350.22,350.18,2.0,6.666666666666666e-10,1
33,350.16,350.18,350.16,38.0,1.2666666666666666e-08,1
88,350.19,350.23,350.19,21.0,7e-09,1
87,350.19,350.23,350.19,13.0,4.333333333333333e-09,1
