block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,71.0,2.3666666666666667e-08,1,0.65,3.0366143
78,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
79,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
80,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
81,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
82,350.15,350.16,350.15,17.0,5.666666666666667e-09,1,0.65,3.0366143
83,350.15,350.17,350.15,1.0,3.3333333333333327e-10,1,0.65,3.0366935999999995
1,350.16,350.17,350.16,12.0,4e-09,1,0.65,3.0366935999999995
4,350.16,350.17,350.16,53.0,1.7666666666666666e-08,1,0.65,3.0366935999999995
34,350.16,350.17,350.16,21.0,7e-09,1,0.65,3.0366935999999995
2,350.17,350.18,350.17,5.0,1.6666666666666667e-09,1,0.65,3.0367729
5,350.17,350.18,350.17,40020.01,1.3340003333333334e-05,1000,0.65,3.0367729
35,350.17,350.2,350.17,2001.0,6.67e-07,1000,0.65,3.0369314999999997
36,350.18,350.21,350.18,4000.001,1.3333336666666668e-06,1000,0.65,3.037010799999999
37,351.3,351.55,351.33,7996005.0,0.002665335,999501,0.65,3.047637
38,351.52,351.78,351.55,1999000.0,0.0006663333333333,999500,0.65,3.0494608999999997
39,351.53,351.79,351.56,7808.595,2.602865e-06,7809,0.65,3.0495402
40,351.59,351.85,351.62,991691.5,0.0003305638333333,991692,0.65,3.0500160000000003
41,339.52,339.55,339.52,14530260000.0,4.84342,330233000,0.8,3.655584000000001
42,351.74,352.03,351.78,1999000.0,0.0006663333333333,999500,0.65,3.0514434
43,353.11,353.8,353.17,11994000.0,0.003998,499750,0.65,3.0654795000000004
44,354.4,355.75,354.45,37981020.0,0.01266034,999501,0.65,3.0809429999999995
45,354.42,355.75,354.46,5002.501,1.6675003333333337e-06,1000,0.65,3.0809429999999995
46,355.45,356.88,355.51,8008009.0,0.0026693363333333,1001000,0.65,3.0899038999999995
47,355.67,357.07,355.72,2002001.0,0.0006673336666666,1001000,0.65,3.0914105999999997
