block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count
0,350.15,350.16,350.15,76.0,2.5333333333333332e-08,1
43,350.15,350.16,350.15,6.0,2e-09,1
44,350.15,350.16,350.15,6.0,2e-09,1
45,350.15,350.17,350.15,7.0,2.333333333333333e-09,1
46,350.15,350.17,350.15,7.0,2.333333333333333e-09,1
47,350.15,350.16,350.15,17.0,5.666666666666667e-09,1
48,350.15,350.17,350.15,1.0,3.333333333333333e-10,1
1,350.16,350.18,350.16,17.0,5.666666666666667e-09,1
49,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1
4,350.16,350.17,350.16,67.0,2.2333333333333335e-08,1
27,350.16,350.17,350.16,30.0,1e-08,1
2,350.17,350.19,350.17,5.0,1.6666666666666667e-09,1
50,350.17,350.19,350.17,20.0,6.666666666666667e-09,1
5,350.17,350.2,350.17,1001.0,3.336666666666667e-07,500
6,,,0.0,0.0,0.0,4
7,,,0.0,304.9922,1.0166406666666667e-07,4
8,350.18,350.23,350.19,2482.949,8.276496666666667e-07,497
9,351.91,352.61,351.94,35099960.0,0.011699986666666667,297457
10,,,0.0,3003.0,1.001e-06,500
32,339.29,339.33,339.29,16783200000.0,5.5944,299700000
33,343.27,344.56,343.24,30000020.0,0.010000006666666667,600000
34,343.28,344.55,343.25,2502.5,8.341666666666667e-07,500
28,350.17,350.19,350.17,5005.0,1.6683333333333334e-06,500
29,350.27,350.33,350.27,1200001.0,0.00040000033333333334,600000
30,350.28,350.35,350.28,1.0,3.333333333333333e-10,1
31,350.3,350.38,350.3,599999.9,0.00019999996666666668,600000
3,350.18,350.2,350.18,58.0,1.9333333333333334e-08,1
36,350.18,350.2,350.18,60.0,2e-08,1
51,350.18,350.22,350.18,2.0,6.666666666666666e-10,1
11,,,0.0,23.0,7.666666666666667e-09,1
35,343.29,344.52,343.26,42.0,1.4e-08,1
37,,,0.0,0.0,0.0,497
38,,,0.0,13139.7,4.3799e-06,1460
39,,,0.0,11679.73,3.8932433333333335e-06,730
40,,,0.0,37959.14,1.2653046666666666e-05,1460
41,,,0.0,2982.088,9.940293333333334e-07,497
53,350.19,350.23,350.19,21.0,7e-09,1
52,350.19,350.23,350.19,13.0,4.333333333333333e-09,1
12,350.15,350.17,350.15,4004.0,1.3346666666666667e-06,500
13,,,0.0,1001.0,3.336666666666667e-07,500
14,,,0.0,3.910156,1.3033853333333334e-09,4
15,,,0.0,1986.359,6.621196666666667e-07,497
16,,,0.0,7572994.0,0.0025243313333333335,124147
17,,,0.0,993.1796,3.310598666666667e-07,497
18,,,0.0,504.4101,1.681367e-07,252
19,,,0.0,20176.4,6.725466666666667e-06,504
20,,,0.0,1001.0,3.336666666666667e-07,500
21,,,0.0,1500.0,5e-07,500
22,,,0.0,1488.281,4.960936666666666e-07,496
23,,,0.0,310058.6,0.00010335286666666666,62012
24,,,0.0,992.1874,3.3072913333333333e-07,496
25,,,0.0,3759.765,1.253255e-06,752
42,,,0.0,58.0,1.9333333333333334e-08,1
26,350.16,350.18,350.16,36.0,1.2e-08,1
