block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,76.0,2.533333333333333e-08,1,0.65,3.0366143
43,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
44,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
45,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
46,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
47,350.15,350.16,350.15,17.0,5.666666666666667e-09,1,0.65,3.0366143
48,350.15,350.17,350.15,1.0,3.3333333333333327e-10,1,0.65,3.0366935999999995
1,350.16,350.18,350.16,17.0,5.666666666666667e-09,1,0.65,3.0367729
49,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1,0.65,3.0367729
4,350.16,350.17,350.16,67.0,2.233333333333333e-08,1,0.65,3.0366935999999995
27,350.16,350.17,350.16,30.0,1e-08,1,0.65,3.0366935999999995
2,350.17,350.19,350.17,5.0,1.6666666666666667e-09,1,0.65,3.0368522000000002
50,350.17,350.19,350.17,20.0,6.666666666666667e-09,1,0.65,3.0368522000000002
5,350.17,350.2,350.17,1001.0,3.336666666666667e-07,500,0.65,3.0369314999999997
8,350.18,350.23,350.19,2482.949,8.276496666666667e-07,497,0.65,3.0371694
9,351.91,352.61,351.94,35099960.0,0.0116999866666666,297457,0.65,3.0560428
32,339.29,339.33,339.29,16783200000.0,5.5944,299700000,0.8,3.6537008
33,343.27,344.56,343.24,30000020.0,0.0100000066666666,600000,0.8,3.698469600000001
34,343.28,344.55,343.25,2502.5,8.341666666666667e-07,500,0.8,3.698384000000001
28,350.17,350.19,350.17,5005.0,1.6683333333333334e-06,500,0.65,3.0368522000000002
29,350.27,350.33,350.27,1200001.0,0.0004000003333333,600000,0.65,3.0379623999999996
30,350.28,350.35,350.28,1.0,3.3333333333333327e-10,1,0.65,3.0381210000000003
31,350.3,350.38,350.3,599999.9,0.0001999999666666,600000,0.65,3.0383588999999995
3,350.18,350.2,350.18,58.0,1.933333333333333e-08,1,0.65,3.0369314999999997
36,350.18,350.2,350.18,60.0,2e-08,1,0.65,3.0369314999999997
51,350.18,350.22,350.18,2.0,6.666666666666665e-10,1,0.65,3.0370901000000003
35,343.29,344.52,343.26,42.0,1.4e-08,1,0.8,3.6981272
53,350.19,350.23,350.19,21.0,7e-09,1,0.65,3.0371694
52,350.19,350.23,350.19,13.0,4.333333333333333e-09,1,0.65,3.0371694
12,350.15,350.17,350.15,4004.0,1.3346666666666667e-06,500,0.65,3.0366935999999995
26,350.16,350.18,350.16,36.0,1.2e-08,1,0.65,3.0367729
