block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
41,0.65,3.0366143,0.65
42,0.65,3.0366143,0.65
43,0.65,3.0366935999999995,0.65
44,0.65,3.0366935999999995,0.65
45,0.65,3.0366143,0.65
46,0.65,3.0366935999999995,0.65
1,0.65,3.0366935999999995,0.65
47,0.65,3.0367729,0.65
4,0.65,3.0367729,0.65
13,0.65,3.0366935999999995,0.65
2,0.65,3.0367729,0.65
48,0.65,3.0368522,0.65
5,0.65,3.0369315,0.65
6,0.65,3.0549326,0.65
7,0.65,3.0549326,0.65
14,0.65,3.0369315,0.65
17,0.65,3.0371694,0.65
18,0.65,3.0397862999999994,0.65
3,0.65,3.0368522,0.65
34,0.65,3.0368522,0.65
49,0.65,3.0370901000000003,0.65
8,0.65,3.0549326,0.65
51,0.65,3.0371694,0.65
50,0.65,3.0371694,0.65
9,0.65,3.0549326,0.65
10,0.65,3.0721406999999994,0.65
11,0.65,3.0721406999999994,0.65
12,0.65,3.0721406999999994,0.65
