block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,69.0,2.3e-08,1,0.65,3.0366143
41,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
42,350.15,350.16,350.15,6.0,2e-09,1,0.65,3.0366143
43,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
44,350.15,350.17,350.15,7.0,2.333333333333333e-09,1,0.65,3.0366935999999995
45,350.15,350.16,350.15,17.0,5.666666666666667e-09,1,0.65,3.0366143
46,350.15,350.17,350.15,1.0,3.3333333333333327e-10,1,0.65,3.0366935999999995
1,350.16,350.17,350.16,12.0,4e-09,1,0.65,3.0366935999999995
47,350.16,350.18,350.16,5.0,1.6666666666666667e-09,1,0.65,3.0367729
4,350.16,350.18,350.16,34.0,1.1333333333333334e-08,1,0.65,3.0367729
13,350.16,350.17,350.16,39.0,1.3e-08,1,0.65,3.0366935999999995
2,350.17,350.18,350.17,5.0,1.6666666666666667e-09,1,0.65,3.0367729
48,350.17,350.19,350.17,20.0,6.666666666666667e-09,1,0.65,3.0368522000000002
5,350.17,350.2,350.17,1201.0,4.003333333333334e-07,600,0.65,3.0369314999999997
6,351.92,352.47,351.96,19776870.0,0.00659229,299650,0.65,3.0549326
7,351.93,352.47,351.97,2402.0,8.006666666666667e-07,600,0.65,3.0549326
14,350.17,350.2,350.17,1801.5,6.005e-07,600,0.65,3.0369314999999997
17,350.18,350.23,350.19,1191.617,3.9720566666666665e-07,596,0.65,3.0371694
18,350.46,350.56,350.47,2413025.0,0.0008043416666666,89371,0.65,3.0397862999999994
3,350.18,350.19,350.18,53.0,1.7666666666666666e-08,1,0.65,3.0368522000000002
34,350.18,350.19,350.18,60.0,2e-08,1,0.65,3.0368522000000002
49,350.18,350.22,350.18,2.0,6.666666666666665e-10,1,0.65,3.0370901000000003
8,351.94,352.47,351.98,30.0,1e-08,1,0.65,3.0549326
51,350.19,350.23,350.19,21.0,7e-09,1,0.65,3.0371694
50,350.19,350.23,350.19,13.0,4.333333333333333e-09,1,0.65,3.0371694
9,351.95,352.47,351.99,1201.0,4.003333333333334e-07,600,0.65,3.0549326
10,353.6,354.64,353.65,23740170.0,0.00791339,359699,0.65,3.0721406999999994
11,353.62,354.64,353.66,2402.0,8.006666666666667e-07,600,0.65,3.0721406999999994
12,353.63,354.64,353.68,6.0,2e-09,1,0.65,3.0721406999999994
