module_name,function_name,block_name,cycles,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_read,int_regfile_write,float_regfile_read,float_regfile_write
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,main,entry,114,1,1.80144e+16,12,10,0,0,109,26,37,29,0,1,0,6,6,0,0,0,109,26,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,main,land.lhs.true,25,1,9.0072e+15,3,1,0,0,23,10,9,6,0,1,0,1,1,0,0,0,23,10,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,main,lop.rhscnt,7,1,4.5036e+15,1,1,0,0,8,3,3,3,0,0,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,main,if.then,22,1,4.5036e+15,3,1,0,0,18,5,6,5,0,0,0,1,1,0,0,0,18,5,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,main,if.end,48,1,1.80144e+16,4,0,0,0,27,8,11,5,0,0,0,4,5,0,0,0,27,8,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,entry,28,1,9.0072e+15,2,7,0,0,37,6,12,10,0,0,0,0,0,0,0,0,37,6,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.cond,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.body,64,1,9.0072e+15,5,2,0,0,32,9,10,9,0,0,0,0,0,1,2,0,32,9,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.inc,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.end,1,1,9.0072e+15,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.cond3,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.body6,8,1,9.0072e+15,1,2,0,0,11,3,4,4,0,0,0,0,0,0,0,0,11,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.cond7,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.body10,107,1,9.0072e+15,8,2,0,0,45,23,17,14,0,0,0,0,0,4,1,0,45,23,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.inc19,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.end21,1,1,9.0072e+15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.inc22,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,init_array,for.end24,7,1,9.0072e+15,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1,2,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,entry,20,1,9.0072e+15,1,8,0,0,38,5,12,11,0,0,0,0,0,0,0,0,38,5,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.cond,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.body,18,1,9.0072e+15,3,2,0,0,18,5,6,6,0,0,0,0,0,0,0,0,18,5,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.inc,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.end,1,1,9.0072e+15,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.cond1,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
